GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
3976,4.26E-129,2.59E-133,0.0483,24.5707729,1.18572836,2022.04,LIF,LIF interleukin 6 family cytokine
1999,3.60E-123,4.38E-127,0.0333,-23.9810697,-0.79875455,7251.47,ELF3,E74 like ETS transcription factor 3
5275,2.07E-88,3.78E-92,0.0642,-20.3600306,-1.30769954,1135.46,SERPINB13,serpin family B member 13
2196,4.38E-82,1.07E-85,0.0327,-19.6188782,-0.64160418,10968.91,FAT2,FAT atypical cadherin 2
7127,1.23E-75,3.75E-79,0.0275,-18.8370285,-0.51802456,10861.2,TNFAIP2,TNF alpha induced protein 2
374918,2.01E-73,7.33E-77,0.0714,18.555754,1.3249465,863.61,IGFL1,IGF like family member 1
10112,1.86E-71,7.91E-75,0.0358,-18.3024551,-0.65507219,4006.55,KIF20A,kinesin family member 20A
64759,3.23E-71,1.57E-74,0.04,-18.2649264,-0.73131255,3972.4,TNS3,tensin 3
4907,7.48E-71,4.10E-74,0.0687,18.2126147,1.25207828,835.44,NT5E,5'-nucleotidase ecto
8061,1.40E-69,8.53E-73,0.0342,18.0457008,0.61662738,4956.5,FOSL1,"FOS like 1, AP-1 transcription factor subunit"
1591,3.25E-66,2.18E-69,0.0705,17.6070426,1.24137359,913.98,CYP24A1,cytochrome P450 family 24 subfamily A member 1
6781,2.37E-64,1.73E-67,0.1305,17.3575135,2.26532675,273.87,STC1,stanniocalcin 1
441478,2.40E-59,1.90E-62,0.0361,-16.6778394,-0.60239918,4356.09,NRARP,NOTCH regulated ankyrin repeat protein
3880,1.31E-58,1.12E-61,0.0351,-16.5716014,-0.5810933,16841.1,KRT19,keratin 19
2335,8.10E-58,7.40E-61,0.0603,16.4576143,0.99228832,1207.01,FN1,fibronectin 1
2729,1.64E-56,1.59E-59,0.0375,-16.2707153,-0.60970919,3540.77,GCLC,glutamate-cysteine ligase catalytic subunit
140876,3.85E-53,3.99E-56,0.0665,15.7843392,1.04891853,941.33,RIPOR3,RIPOR family member 3
5083,7.86E-51,8.61E-54,0.0427,-15.4414537,-0.65888166,3241.81,PAX9,paired box 9
7086,1.91E-48,2.21E-51,0.0264,-15.0793451,-0.39757851,20918.08,TKT,transketolase
6256,2.73E-48,3.33E-51,0.033,-15.0524396,-0.49652342,8810.08,RXRA,retinoid X receptor alpha
79718,8.37E-47,1.07E-49,0.024,-14.8210646,-0.35607888,27343.6,TBL1XR1,TBL1X/Y related 1
3852,8.01E-46,1.07E-48,0.0251,-14.6654515,-0.36816628,123442.43,KRT5,keratin 5
1062,2.31E-45,3.23E-48,0.0372,-14.5903574,-0.54321469,4792.92,CENPE,centromere protein E
9787,3.23E-45,4.84E-48,0.0377,-14.5628684,-0.54909324,6886.85,DLGAP5,DLG associated protein 5
146802,3.23E-45,4.91E-48,0.0816,-14.5618132,-1.18833162,680.87,SLC47A2,solute carrier family 47 member 2
3855,6.84E-45,1.08E-47,0.0604,14.507672,0.87608388,1482.73,KRT7,keratin 7
4583,1.27E-44,2.09E-47,0.0741,14.4624439,1.0722982,1008.9,MUC2,"mucin 2, oligomeric mucus/gel-forming"
4131,3.26E-43,5.56E-46,0.0832,14.2348966,1.18401999,652.67,MAP1B,microtubule associated protein 1B
3575,1.25E-42,2.21E-45,0.0515,14.1382913,0.7279712,3017.48,IL7R,interleukin 7 receptor
3148,2.89E-42,5.28E-45,0.0297,-14.0766995,-0.41786827,9144.16,HMGB2,high mobility group box 2
4070,2.97E-42,5.60E-45,0.0265,-14.0725311,-0.37248574,17948.6,TACSTD2,tumor associated calcium signal transducer 2
114794,5.65E-42,1.10E-44,0.0694,14.0246856,0.97279239,1022.21,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2
4953,2.94E-40,5.91E-43,0.0772,13.7392374,1.06083507,6016.7,ODC1,ornithine decarboxylase 1
1847,3.89E-40,8.06E-43,0.065,13.7167398,0.89206784,1225.64,DUSP5,dual specificity phosphatase 5
5265,4.50E-40,9.60E-43,0.0487,13.7040868,0.66738704,1715.99,SERPINA1,serpin family A member 1
10626,7.87E-40,1.72E-42,0.0339,-13.6614919,-0.46279946,4892.54,TRIM16,tripartite motif containing 16
23650,2.41E-39,5.43E-42,0.0359,-13.5777647,-0.48781635,5127.74,TRIM29,tripartite motif containing 29
688,5.95E-38,1.38E-40,0.0385,-13.33875,-0.51415925,7351.64,KLF5,KLF transcription factor 5
4854,1.85E-37,4.40E-40,0.0518,-13.2519386,-0.6865069,1986.62,NOTCH3,notch receptor 3
