"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",53.1939339761819,0.0236087007130019,0.257585169406392,0.0916539596103627,0.994170838480226,1
"LOC729737",94.1163601034513,0.143157110778806,0.192125229387718,0.745123955011176,0.988592811522954,1
"LOC102723897",81.9431896649484,0.0438709398297453,0.208994388570693,0.209914438994164,0.996262755105858,1
"MIR6723",335.385260345227,0.494584537612885,0.332109438558062,1.48922156431401,0.602091087347962,1
"LOC100133331",52.2036331670741,0.253788191803009,0.261515105038249,0.970453281334896,0.894588635360523,1
"LOC101928706",23.3942780071817,-0.312394224214852,0.386576414334051,-0.808104717803357,0.766095333075349,1
"LOC101060494",15.5395129362084,-0.338263456928622,0.493669069058906,-0.68520285780404,0.719254613682326,1
"LOC100288069",29.4228711211209,0.701224364509112,0.340393560737277,2.06004004009445,0.3609552245334,1
"LINC00115",12.0653245299641,-1.20228157332757,0.59689324080904,-2.01423217943961,0.14999564171621,1
"LINC01128",367.547596700209,0.124069563706077,0.102592273225263,1.2093460823668,0.99999558699893,1
"NOC2L",2652.80728457558,-0.0359589112507102,0.0539578660867856,-0.666425747691246,1,1
"KLHL17",379.313221663444,-0.32060090999099,0.103723246110751,-3.09092630641993,0.993805691744867,1
"PLEKHN1",169.670777992651,-0.108010497707565,0.148678907530895,-0.726468195800547,0.999251520673509,1
"PERM1",51.1884699738242,-0.253965193504741,0.252630628157987,-1.00528267437913,0.902053222017103,1
"HES4",274.005657340626,-0.731000371150066,0.119950673207534,-6.09417481038491,0.104041556248076,1
"ISG15",1627.70724376136,-2.28796088394985,0.119140859411541,-19.2038306190716,6.55132164568596e-47,7.94729909968754e-44
"AGRN",8370.73139688743,-0.142336816842357,0.0343236163547991,-4.14690618176822,1,1
"LOC100288175",29.0228396269968,0.372840330535196,0.345174455880573,1.08015041143194,0.728685971660086,1
"RNF223",17.7636246538072,-0.39843906720867,0.429775671742531,-0.927086136805263,0.675057816413524,1
"C1orf159",155.241305800047,-0.313678400460938,0.182000441324428,-1.72350351558646,0.928308066597702,1
"SDF4",2222.95315391788,-0.0404897986364663,0.0444236083803689,-0.911447766461922,1,1
"B3GALT6",448.444700055556,0.0173603066121395,0.0933946912743381,0.185881085694102,0.999999999230606,1
"FAM132A",17.1088904917191,0.481272387166037,0.441360586646957,1.090429009129,0.59659669556597,1
"UBE2J2",903.079531707176,0.000916604720637383,0.0689582851577099,0.0132921623346792,1,1
"SCNN1D",18.2416417610289,0.621202722172097,0.455380595840674,1.36413964021743,0.468125287569961,1
"ACAP3",454.011408128523,-0.0407197089801678,0.0951126607239112,-0.428120806107687,0.999999992890141,1
"PUSL1",172.432333832257,-0.0652128733187082,0.151569672880885,-0.43025014225608,0.999668938961397,1
"CPSF3L",1250.17651355041,-0.171973221267899,0.061809150941159,-2.78232621948834,0.999999999979635,1
"GLTPD1",346.231276485088,-0.108042890592488,0.105501672617531,-1.02408699229034,0.999996151767957,1
"DVL1",1189.00759844482,-0.261760792086603,0.0606559866102836,-4.31549805245809,0.999999922544567,1
"MXRA8",17.3044725620579,0.26434693581821,0.442429907380424,0.597488848309051,0.790385108967812,1
"AURKAIP1",1313.41279811573,-0.104546014174235,0.0581274969966796,-1.79856383942022,1,1
"CCNL2",3236.56130918549,0.072587715621868,0.0401965606351093,1.80581906697925,1,1
"LOC148413",286.449839322931,-0.21810325053181,0.112086746372827,-1.94584335427444,0.999378272699653,1
"MRPL20",701.640129594919,0.0628537007677392,0.0822729646351255,0.763965429548949,0.999999999836853,1
"ANKRD65",373.627336760103,-0.0467916947626854,0.103727107768784,-0.451103822030669,0.999999863747351,1
"VWA1",691.454933282281,-0.0412465133232131,0.0743867651945044,-0.554487256104804,0.99999999999978,1
"ATAD3B",514.368610580908,0.141817173257743,0.167275336937423,0.847806830667427,0.995605428454427,1
"ATAD3A",900.211421419512,-0.0891488678084031,0.0700745868090348,-1.27219969275522,0.999999999998762,1
"SSU72",2204.64745762787,-0.142396162936105,0.0452619083156081,-3.14604859218896,1,1
"C1orf233",135.279761929186,-0.0346116760144578,0.16067435406115,-0.215415062451629,0.99972140022357,1
"MIB2",488.643923559812,0.0234576095494984,0.0938513075494699,0.249944408469043,0.999999998549563,1
"CDK11B",891.660868552934,-0.00608205665938645,0.0647683985823299,-0.09390469414888,1,1
"SLC35E2B",1201.2732133596,0.0448643476606911,0.0594956928870342,0.754077236244244,1,1
"CDK11A",437.321969009631,0.128394637695847,0.0895619453943893,1.43358473434735,0.999999770111459,1
"SLC35E2",345.437440380009,-0.188807212038782,0.11603915936334,-1.62709910236071,0.999625810928554,1
"NADK",1250.21441356414,-0.0863947697906165,0.0562191641096812,-1.53674945472444,1,1
"GNB1",9619.34076564356,-0.0568639918274928,0.0275202356637432,-2.06626107865816,1,1
"TMEM52",21.7493380252326,0.0522564590307616,0.403694156373974,0.129445666244305,0.963095732099462,1
"GABRD",15.4616763733842,-0.161531701139856,0.491802881948309,-0.328448057278432,0.8683888433757,1
"PRKCZ",337.667039696947,0.0138450268283407,0.107385420845497,0.128928365874363,0.999999948601049,1
"LOC100506504",12.1301047301076,-0.409262434089937,0.519559871720651,-0.787709860529766,0.65723092114171,1
"C1orf86",417.040808548954,-0.0956938877998798,0.0953625391604782,-1.0034746205619,0.999999809865735,1
"SKI",1782.77124693101,0.145334468676923,0.0538393954114564,2.69940751686075,1,1
"MORN1",114.941007078158,0.0757634530993343,0.175219025395434,0.432392846201212,0.998088474153732,1
"LOC100129534",26.8785883595467,0.230022237737115,0.376299370143428,0.61127457547814,0.839502810143307,1
"RER1",2462.67782435968,-0.0654602554033051,0.0429295911914086,-1.52482829644102,1,1
"PEX10",236.968253950955,-0.0551832411751838,0.121145132960483,-0.455513480621498,0.999992695321458,1
"PRDM16",35.5798660986157,0.062296343659187,0.316620658863703,0.196753881704238,0.970234612354491,1
"ARHGEF16",708.737023604925,-0.200849004682959,0.0782919280751715,-2.56538585293384,0.999999359841829,1
"MEGF6",80.3143043771113,0.14887162529595,0.206056288287709,0.722480379186906,0.981995624571717,1
"TPRG1L",579.179278035811,0.154084374344074,0.0788593250386779,1.95391444535571,0.999999966856379,1
"WRAP73",331.510290177682,-0.0694160685852158,0.102380493365255,-0.678020453931254,0.999999693684477,1
"TP73",352.268039313892,-0.0979920651549956,0.100783453077479,-0.972303112889598,0.99999913483977,1
"TP73-AS1",93.5289214726235,0.172889757667562,0.213542379006754,0.809627383902535,0.971915966968049,1
"LRRC47",1167.63374093415,-0.0395035046950521,0.0601504000614885,-0.656745502185684,1,1
"CEP104",1097.12500701585,0.0280172570886318,0.0598907825033135,0.467805827834721,1,1
"DFFB",141.827778561036,-0.0703430188748232,0.158124368632393,-0.444858812611967,0.99938557178782,1
"C1orf174",563.297601732917,-0.345866427197565,0.0804158950850878,-4.30097093157522,0.998201703333279,1
"NPHP4",327.803238617497,-0.0640707965868546,0.109533882221838,-0.584940433838477,0.999998764831187,1
"KCNAB2",279.917302237187,0.159158437363239,0.121976829988689,1.3048251653859,0.999719890352439,1
"RPL22",8798.36082859231,-0.0751832076619544,0.028954908914152,-2.59656170512793,1,1
"RNF207",272.422451630549,0.260223473377434,0.113650030337892,2.28969119149168,0.997551216708595,1
"ICMT",3742.08945238428,-0.0536301498065165,0.0381348851548382,-1.40632781739773,1,1
"LINC00337",30.7683846340449,0.0883078731430517,0.3340750912045,0.26433540083656,0.952187377041203,1
"GPR153",360.76457186267,-0.143799554127555,0.102734000558897,-1.39972699734509,0.9999891151323,1
"ACOT7",1125.29218340083,-0.0037686060157631,0.0597618603672315,-0.0630603865509766,1,1
"HES2",74.5401576833837,-0.187914394343978,0.219848511859113,-0.854744900272058,0.962981147882346,1
"ESPN",40.9788443778281,0.30748251375082,0.286352030921807,1.07379197821992,0.830342098798483,1
"TNFRSF25",221.597200400891,-0.200418670331966,0.123541159863803,-1.62228257005937,0.998938663090521,1
"PLEKHG5",835.911941368604,-0.0387628126376494,0.0802020627902142,-0.483314409743324,0.999999999992533,1
"NOL9",1336.44241374191,0.00992257302091951,0.131407498071614,0.0755099455246607,0.99999639215926,1
"ZBTB48",258.413337963284,-0.0606883160181499,0.121977506410835,-0.497536945982028,0.999989735875229,1
"KLHL21",662.114330278856,0.0393469726745189,0.075285796468668,0.522634740151738,0.999999999999655,1
"PHF13",829.058889425493,-0.128791217735508,0.0721972102273523,-1.78388080827415,0.99999999979434,1
"THAP3",162.385179851446,-0.22850195039189,0.153304214467905,-1.49051316811468,0.989070709046548,1
"DNAJC11",1228.18253229499,0.0223319436357053,0.0608400551306153,0.367059884935371,1,1
"CAMTA1",795.351103461215,-0.123933979919538,0.0702834281204714,-1.76334568807749,0.999999999956783,1
"VAMP3",2055.62725629357,0.0735200153662101,0.0456342271239515,1.61107177659688,1,1
"PER3",677.463036720574,-0.360334640581378,0.0777684767806558,-4.63342803534256,0.997633065704826,1
"TNFRSF9",137.77502007363,0.247787356789323,0.172296259207933,1.43814704932325,0.973082399901183,1
"PARK7",4369.3969828312,-0.0047774465041109,0.0371083539325636,-0.128743153436363,1,1
"ERRFI1",818.039136997286,0.0429400931745171,0.0786362996813797,0.546059432456801,0.999999999995746,1
"RERE",1839.582279417,0.0327403561205069,0.0478152279552905,0.684726550945667,1,1
"ENO1",40743.3925828431,-0.0504472630181101,0.0280752728541316,-1.7968574439228,1,1
"GPR157",47.5045834376164,-0.23711018809065,0.270002987518986,-0.878176164898832,0.899186291893983,1
"H6PD",1516.78291975028,-0.207152312705794,0.0550185339752766,-3.76513690457258,0.999999999993855,1
"SPSB1",492.737422025364,-0.355826367601516,0.0880869915618314,-4.03948825238002,0.994534734280215,1
"SLC25A33",213.4488861802,0.0306602037571909,0.129891745424186,0.236044281775291,0.999989567008313,1
"TMEM201",609.206284172549,-0.209027197836372,0.0794798878867509,-2.6299382572634,0.999998475605954,1
"PIK3CD",123.632444273297,0.413858669550643,0.178517178438196,2.31831285465855,0.82398895065596,1
"CLSTN1",12147.1246495614,0.0436754886212594,0.0268283654439181,1.62795935937873,1,1
"CTNNBIP1",908.539605829311,0.0283615082121309,0.0663699277901746,0.427324680867432,1,1
"LZIC",731.400332874554,0.053585966964675,0.0714718961869909,0.749748779918736,0.999999999999912,1
"NMNAT1",358.585274511985,0.256787518639872,0.097532462852739,2.63284152915924,0.999539972114945,1
"RBP7",8.89098401395159,1.0992233604073,0.654857779614075,1.67856807176529,0.219093847256266,1
"UBE4B",1670.27566204628,0.111104972058743,0.0526888514270602,2.10869983022028,1,1
"KIF1B",4091.91219774585,0.0671388147885088,0.036145305582216,1.85746983479764,1,1
"PGD",4766.09615509458,-0.156920770555919,0.036180920789039,-4.3371137918485,1,1
"APITD1",37.5557012823603,-0.223588614841807,0.301508974808314,-0.741565371259528,0.885262291671511,1
"DFFA",1331.20441907762,0.0223984555513805,0.0551881143052003,0.405856511558141,1,1
"PEX14",572.076922069185,-0.0535355945302347,0.0821193683534582,-0.651924090548368,0.999999999927705,1
"CASZ1",225.648498037192,-0.144853418513686,0.12704268458724,-1.14019488004613,0.99969283210654,1
"TARDBP",7497.67651922013,0.00332229843176909,0.0307126860903578,0.108173489677678,1,1
"MASP2",41.9310599881581,0.602598264975573,0.286629881040539,2.10235674936608,0.468597903781905,1
"SRM",1291.33897387569,0.0978348902601626,0.0568740770805668,1.72020180866533,1,1
"EXOSC10",2248.6625048235,-0.0133521079134334,0.0435759525720224,-0.306410006559581,1,1
"MTOR",4166.12478223881,0.0561837958229297,0.035124327099334,1.5995693145676,1,1
"UBIAD1",519.144755300869,-0.0619890029950491,0.0831432706657254,-0.745568492780056,0.999999999767296,1
"FBXO2",113.489059299364,-0.260596948183966,0.18280586807781,-1.42553929435703,0.95970300402978,1
"FBXO44",227.636252609513,-0.0395935630251256,0.124730609957062,-0.31743260967581,0.999992970876789,1
"FBXO6",86.5899837516594,-0.253514581868493,0.212306650186058,-1.19409628311841,0.937994569248214,1
"MAD2L2",1057.79458473395,-0.179443159933768,0.0617571349744639,-2.90562637026421,0.999999999955928,1
"AGTRAP",582.699397767723,-0.452639858538773,0.0839188938027382,-5.39377770639779,0.935449622693669,1
"MTHFR",251.497971765083,0.307792103895372,0.119569971566188,2.57415887838522,0.988593663515642,1
"CLCN6",545.230262212327,-0.118371601314315,0.0862824282241537,-1.37190855369528,0.999999956071885,1
"KIAA2013",1410.58986622865,-0.0745743359620076,0.0533534147205722,-1.39774251287524,1,1
"PLOD1",1903.44571295722,-0.215552571288465,0.0578827982374293,-3.72394870068808,0.999999999847582,1
"MFN2",5367.70570303018,-0.103022965178127,0.0343276672591049,-3.00116417467318,1,1
"MIIP",285.97011055455,-0.333372321814381,0.111716009599408,-2.9841051699733,0.986364981908488,1
"VPS13D",1848.44576005292,-0.0514557561862639,0.0523448092838283,-0.983015448719208,1,1
"DHRS3",663.231502847969,-0.452188721405835,0.0742088033403171,-6.09346467065538,0.957494183029244,1
"HNRNPCL1",42.6089704006112,0.261643862576935,0.342542799271037,0.763828237328992,0.830660923416569,1
"PDPN",441.940339926256,-0.336328871074938,0.092916307246995,-3.61969691908753,0.995635376515144,1
"PRDM2",1165.63221101754,-0.105110769078576,0.0585838532552295,-1.79419350619777,1,1
