GeneID,Symbol,Description,log2(fold change),negLOG10(Pvalue)
7850,IL1R2,interleukin 1 receptor type 2,3.25,18.702
4319,MMP10,matrix metallopeptidase 10,2.349,58.346
126637,TCHHL1,trichohyalin like 1,2.338,11.099
374918,IGFL1,IGF like family member 1,2.279,260.437
6698,SPRR1A,small proline rich protein 1A,2.223,6.006
51676,ASB2,ankyrin repeat and SOCS box containing 2,2.127,24.58
9173,IL1RL1,interleukin 1 receptor like 1,2.041,71.213
100288077,WTAPP1,Wilms tumor 1 associated protein pseudogene 1,2.035,10.205
4312,MMP1,matrix metallopeptidase 1,1.966,55.068
290,ANPEP,"alanyl aminopeptidase, membrane",1.934,5.298
6781,STC1,stanniocalcin 1,1.925,37.083
4321,MMP12,matrix metallopeptidase 12,1.866,16.648
249,ALPL,"alkaline phosphatase, biomineralization associated",1.756,4.141
81848,SPRY4,sprouty RTK signaling antagonist 4,1.73,11.413
4322,MMP13,matrix metallopeptidase 13,1.646,41.714
29943,PADI1,peptidyl arginine deiminase 1,1.637,9.416
1009,CDH11,cadherin 11,1.598,22.414
147920,IGFL2,IGF like family member 2,1.502,7.986
51557,LGSN,"lengsin, lens protein with glutamine synthetase domain",1.47,4.553
645553,IGFL2-AS1,IGFL2 antisense RNA 1,1.463,4.371
3882,KRT32,keratin 32,1.459,4.42
105370624,LOC105370624,uncharacterized LOC105370624,1.427,2.709
1258,CNGB1,cyclic nucleotide gated channel subunit beta 1,1.427,15.208
6699,SPRR1B,small proline rich protein 1B,1.409,7.188
8710,SERPINB7,serpin family B member 7,1.407,4.297
388697,HRNR,hornerin,1.402,11.087
57526,PCDH19,protocadherin 19,1.372,5.684
387914,SHISA2,shisa family member 2,1.345,3.693
22953,P2RX2,purinergic receptor P2X 2,1.342,2.547
107986649,LOC107986649,,1.325,3.99
2019,EN1,engrailed homeobox 1,1.303,2.475
3887,KRT81,keratin 81,1.271,6.231
10788,IQGAP2,IQ motif containing GTPase activating protein 2,1.264,3.772
1365,CLDN3,claudin 3,1.252,2.658
9770,RASSF2,Ras association domain family member 2,1.247,3.294
113157,RPLP0P2,ribosomal protein lateral stalk subunit P0 pseudogene 2,1.238,10.533
4953,ODC1,ornithine decarboxylase 1,1.22,142.039
10723,SLC12A7,solute carrier family 12 member 7,1.208,69.529
140876,RIPOR3,RIPOR family member 3,1.197,60.366
27128,CYTH4,cytohesin 4,1.174,5.719
100133941,CD24,CD24 molecule,1.173,12.989
54843,SYTL2,synaptotagmin like 2,1.16,2.808
25984,KRT23,keratin 23,1.16,4.193
3778,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,1.151,4.117
3576,CXCL8,C-X-C motif chemokine ligand 8,1.149,8.09
1474,CST6,cystatin E/M,1.148,11.758
