Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
0.000167495,14,327,5.049560201,R-HSA-1474244 Extracellular matrix organization,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-1474244, MMP2  VWF  LOX  LTBP2  PXDN  ADAM19  MMP13  ADAM12  CAPN5  MMP10  ITGAM  EFEMP2  MMP1  MMP12
0.038626736,13,552,2.777650157,R-HSA-449147 Signaling by Interleukins,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-449147, MMP2  IL1R2  IL1R1  IL1RL1  RHOU  DUSP4  LIF  IRAK2  DUSP6  CXCL1  CXCL8  ITGAM  MMP1
0.000151906,10,142,8.305866125,R-HSA-6809371 Formation of the cornified envelope,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-6809371, KRT23  KRT32  KRT18  KRT7  FLG  SPRR1B  SPRR1A  KRT75  KRT16  KRT81
0.0105179,10,260,4.53628073,R-HSA-6805567 Keratinization,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-6805567, KRT23  KRT32  KRT18  KRT7  FLG  SPRR1B  SPRR1A  KRT75  KRT16  KRT81
0.047844386,10,376,3.136789866,R-HSA-5683057 MAPK family signaling cascades,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-5683057, CAMK2A  MMP2  VWF  DUSP4  DUSP5  DUSP6  MMP10  KSR2  SPRED3  NEFL
0.038626736,6,128,5.528592139,R-HSA-6785807 Interleukin-4 and Interleukin-13 signaling,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-6785807, MMP2  RHOU  LIF  CXCL8  ITGAM  MMP1
0.018015397,5,62,9.511556368,R-HSA-6783783 Interleukin-10 signaling,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-6783783, IL1R2  IL1R1  LIF  CXCL1  CXCL8
0.024005179,5,72,8.190506873,R-HSA-1442490 Collagen degradation,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-1442490, MMP2  MMP13  MMP10  MMP1  MMP12
0.038626736,5,91,6.480401042,R-HSA-6802957 Oncogenic MAPK signaling,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-6802957, CAMK2A  VWF  DUSP6  KSR2  SPRED3
0.021052832,4,37,12.75062692,R-HSA-1592389 Activation of Matrix Metalloproteinases,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-1592389, MMP2  MMP13  MMP10  MMP1
0.024005179,2,4,58.97164948,R-HSA-8941237 Invadopodia formation,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-8941237, ADAM19  ADAM12
0.038626736,2,6,39.31443299,R-HSA-211916 Vitamins,HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-211916, CYP24A1  CYP26A1
