"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002697","regulation of immune effector process","156/3774","414/18805",0.376811594202899,1.87756810518959,9.04712229081771,4.47519968702966e-17,1.44087794209436e-13,1.16586463856697e-13,"SLC15A4/GFER/GRB2/MAD2L2/HK1/BRD4/PARP3/GPI/ARRB2/PTPN6/CUEDC2/CD86/DUSP22/TRAF2/STX4/SYK/SHB/LGALS3/ARID5A/STXBP1/SMAD7/DDRGK1/PRKCZ/FGR/MAPKAPK2/RPS19/HLA-E/INAVA/HLX/UNC13D/TAP2/IL4I1/MYD88/JUNB/ANXA1/FCN3/GATA2/FES/LAMP1/LAPTM5/KMT5C/SPHK2/STAT5A/FCGR2B/NOD2/MIF/HMCES/VAMP8/CARD9/RIPK3/CD40/BTK/HLA-A/TREM2/RASGRP1/SPON2/GPRC5B/STXBP2/ZBTB7B/HLA-F/NECTIN2/PYCARD/BATF/GRN/CD81/HAVCR2/PRAM1/PKP3/TNFSF13/HLA-C/HLA-B/TRPM4/TNFRSF14/TREX1/CFP/CD96/PIK3R6/TNFRSF1B/KLRK1/ACP5/SUSD4/NECTIN4/SECTM1/NLRX1/TGFB1/TLR9/CD300A/TICAM1/SLAMF8/EVPL/RAET1L/TYROBP/BST2/LILRB4/IRF5/SPI1/CX3CR1/IL12RB1/HLA-DMB/HLA-DRA/ITGB2/SLAMF1/SLAMF6/CD244/FFAR2/SERPING1/NCR1/CALHM6/SH2D1A/LGALS9/SASH3/WAS/SPINK5/HLA-DRB1/CRTAM/DNASE1L3/S100A9/FCRL3/NOS2/SPN/TBX21/CD1C/PGLYRP2/FUT7/IL12B/CD74/TNFRSF4/KLRC1/TIGIT/PLA2G3/NCF1/PGLYRP3/ASCL2/FOXP3/LTA/FCER2/PDCD1/CD177/LAG3/CD1E/KLRB1/POMC/CD40LG/CD1A/NCR3/CR2/IL2RG/HLA-H/LEP/ZNF683/KIR2DL4/MZB1/CD7/CD1B/FOXJ1/HLA-G",156
"GO:0030098","lymphocyte differentiation","161/3774","432/18805",0.372685185185185,1.8570071296787,9.02959772498019,4.60050428510333e-17,1.44087794209436e-13,1.16586463856697e-13,"ARID1A/TUSC2/GPS2/SMARCA4/KLHL25/TCF3/STK11/KAT2A/ZMIZ1/LMBR1L/BRD4/SART1/ITPKB/BAD/BAK1/PATZ1/LRRC8A/TYRO3/PTK2B/PTPN6/CD86/SOCS3/ACTB/SYK/SHB/IL15RA/SLC25A5/SLC4A2/SMAD7/DDRGK1/TP53/PRKCZ/SRF/BLNK/HLX/IL4I1/CMTM7/JUNB/ANXA1/DLL4/HDAC5/IRF1/MEN1/PRDM1/STAT5A/ZFP36L2/ITM2A/FCGR2B/TCIRG1/CLPTM1/RIPK3/PIK3R2/BTK/ERBB2/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/JAG2/VSIR/ICOSLG/ARMC5/FZD7/ZBTB7B/ZBTB7A/KDELR1/BATF/TCF7/GAS6/FCER1G/CLEC4E/ZFPM1/THEMIS/BAX/RHOH/ICOS/RELB/SYVN1/RUNX3/WNT4/ITK/LFNG/PIK3R6/SOX12/FLT3LG/MAFB/NRARP/FZD9/SOCS1/CCR7/TGFB1/TLR9/IKZF1/SLAMF8/MFNG/PRR7/EGR3/NFAM1/LILRB4/TESPA1/PAX5/LYL1/IRF8/SEMA4A/LCK/SPI1/RORC/CD3G/IL12RB1/CD4/HLA-DRA/SLAMF1/SLAMF6/WNT1/CTLA4/LGALS9/SASH3/SPINK5/EGR1/HLA-DRB1/CRTAM/FCRL3/FOXN1/SPN/TBX21/MDK/CDKN2A/CD8A/IL36B/PGLYRP2/FUT7/IL12B/CD74/KLRC1/HLA-DOA/PGLYRP3/ASCL2/FOXP3/LY9/BCL3/ZAP70/POU2AF1/LAG3/CD79B/CD3D/LY6D/CD40LG/CD3E/CR2/CD2/IL2RG/LEP/ZNF683/FOXJ1/CD19/MS4A1/HLA-G/CD27/CD79A/PLA2G2D",161
"GO:0007159","leukocyte cell-cell adhesion","150/3774","433/18805",0.346420323325635,1.72613518286661,7.65976315876193,5.76143787030333e-13,6.01494113659667e-10,4.86689883254571e-10,"ARID1A/AKT1/SMARCA4/KLHL25/ZMIZ1/EFNB1/BRD4/SART1/ITPKB/BAD/RPS3/PECAM1/PTPN6/DHPS/CD86/DUSP22/F11R/ACTB/SYK/SHB/LGALS3/SLC4A2/SRC/SMAD7/PRKCZ/RELA/SIRPA/HLA-E/GPNMB/HLX/NCK2/IL4I1/ANXA1/IRF1/LAPTM5/STAT5A/SCRIB/NOD2/KLF4/THY1/ERBB2/HLA-A/SKAP1/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/VSIR/CEBPB/ICOSLG/ZBTB7B/SFTPD/SEMA4D/FLOT2/PYCARD/CSK/CCL2/CD81/HAVCR2/FCHO1/AIF1/RHOH/ICOS/RUNX3/PODXL2/IGFBP2/TNFRSF14/CCDC88B/PIK3R6/KLRK1/SOX12/NRARP/SOCS1/CCR7/TGFB1/ITGB7/SELL/CD300A/FERMT3/HLA-DRB5/BMP7/CORO1A/EGR3/LILRB4/HLA-DPA1/TESPA1/CTSG/LGALS9B/HLA-DPB1/LCK/HLA-DQA1/CX3CR1/IL12RB1/CHST2/HLA-DMB/CD4/HLA-DQB1/HLA-DRA/ITGB2/SELPLG/SLAMF1/HLA-DMA/CTLA4/LGALS9/SASH3/HLA-DRB1/CRTAM/RASAL3/S100A9/LGALS9C/SPN/LAX1/TBX21/MDK/CDKN2A/IDO1/S100A8/IL36B/FUT7/IL12B/CD74/TIGIT/TMIGD2/CD5/SIRPB1/TNFAIP8L2/HLA-DOA/ITGAL/ASCL2/FOXP3/IGF2/ZAP70/CD6/PDCD1/CD177/LAG3/CD40LG/CD3E/IL2RG/LEP/PLA2G2F/SIRPG/FOXJ1/HLA-DQA2/ADORA2A/HLA-DQB2/HLA-G/CD27/PLA2G2D",150
"GO:0019884","antigen processing and presentation of exogenous antigen","33/3774","50/18805",0.66,3.28863275039746,8.11960136880679,2.20501019418141e-12,1.72652298204405e-09,1.39699001118204e-09,"DNM2/MFSD6/CTSF/HLA-E/TAP2/LGMN/CTSS/FCGR2B/PSME1/UNC93B1/HLA-A/HLA-F/CLEC4A/FCER1G/CTSD/IFI30/HLA-DRB5/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-DMA/HLA-DRB1/CD1C/CD74/HLA-DOA/CD1E/CD1A/CD1B/HLA-DQA2/HLA-DQB2",33
"GO:0070661","leukocyte proliferation","121/3774","344/18805",0.351744186046512,1.7526628030219,7.05966666317339,3.28137500134241e-11,1.28465831302556e-08,1.03946188364893e-08,"TCF3/LMBR1L/EFNB1/HPRT1/RPS3/PTPN6/CD320/DHPS/CD86/GSTP1/SYK/SHB/LGALS3/SLC4A2/CSF2RA/TP53/SH2D2A/BST1/ACE/HLA-E/GPNMB/CSF1R/NCK2/IL4I1/MYD88/EMP2/JUNB/ANXA1/CD151/IRF1/CDKN1A/FCGR2B/TCIRG1/SCRIB/MIF/MAPK3/CSF2RB/RIPK3/CD40/BTK/ERBB2/HLA-A/TREM2/IL2RA/RASGRP1/PRKCD/VSIR/CEBPB/ICOSLG/ARMC5/ZBTB7B/SFTPD/PYCARD/WNT3A/CD81/RASSF5/HAVCR2/IL34/CD38/TNFSF13/BAX/PSMB10/CD180/AIF1/IGFBP2/WNT4/FCGR3A/TNFRSF14/CCDC88B/TNFRSF1B/TGFB1/CX3CL1/TLR9/CD300A/TICAM1/GAPT/CORO1A/TYROBP/BST2/LILRB4/HLA-DPA1/LGALS9B/HLA-DPB1/IL12RB1/HLA-DMB/SLAMF1/LST1/CTLA4/LGALS9/SASH3/NDP/HLA-DRB1/CRTAM/RASAL3/FCRL3/LGALS9C/SPN/CDKN2A/IDO1/LMO1/IL12B/CD74/TNFRSF4/TMIGD2/FOXP3/IGF2/ZAP70/CD6/CD40LG/CD3E/CR2/LEP/TNFRSF13B/PLA2G2F/MZB1/FOXJ1/CD19/MS4A1/HLA-G/CD79A/PLA2G2D",121
"GO:0043588","skin development","112/3774","324/18805",0.345679012345679,1.72244139564401,6.57271083945527,5.72339056347557e-10,1.32782661072633e-07,1.0743908601612e-07,"EXTL3/ERCC2/HDAC1/ELOVL1/NSDHL/GNAS/LAMA5/ACVR1B/TRIM16/KAZN/GJB3/RELA/EPHA2/SRF/OVOL2/RIPK4/KDF1/MYD88/ANXA1/CDKN1A/NOTCH1/NAGLU/GRHL1/SHARPIN/SUFU/DHCR24/KLF4/WNT10B/KRT5/TRADD/NGFR/PPL/PLAAT4/LSR/PKP3/ST14/DLX3/WNT10A/SLC27A4/KRT6A/CERS3/EDAR/JUP/ZFP36/MAFB/AHDC1/KRT9/KRT17/CLDN4/PKP1/ABCB6/EVPL/POU3F1/KRT14/FOXE1/POU2F3/LHX2/KRT74/GRHL3/SLC39A2/KRT7/OVOL1/S100A7/SFN/KRT75/TMEM79/ALOX15B/KRT79/SPINK5/ALOXE3/SOX18/RYR1/FOXN1/FUZ/KRT6B/CYSRT1/ZNF750/DKK4/ASPRV1/FA2H/AKR1C3/AQP3/TGM1/ASCL4/KRT6C/TCHH/KRT16/KRT27/SPRR2D/SPRR1B/SOX21/IVL/LCE2D/KRT84/ALOX12B/LTB/KRT78/SPRR1A/CDSN/LCE3D/CNFN/SPRR2G/LCE3E/SPRR2F/SPRR2E/KRT4/KRT36/SPRR3/TGM3/LCE3A/SPRR2B/SPRR4",112
"GO:0002237","response to molecule of bacterial origin","125/3774","379/18805",0.329815303430079,1.64339607339763,6.34037010282986,1.70464178108362e-09,3.14055179903171e-07,2.54113008542342e-07,"GFER/CACTIN/AKT1/WDR83/TRIM41/GIT1/PAF1/PTPN6/CD86/DAB2IP/GSTP1/ARID5A/NFKB2/SBNO2/CNP/SRC/IRF3/NFKBIL1/RELA/TNIP2/ALAD/AKIRIN2/UPF1/SIRPA/MAPKAPK2/ACE/INAVA/E2F1/TAP2/MYD88/CD68/SIGIRR/HDAC5/OTUD5/FOS/SMAD6/MAP2K7/NR1D1/NOTCH1/NAGLU/NR1H3/BIN1/SELENOW/ALPL/NOS3/HCK/HSF1/FCGR2B/NOD2/MIF/MAPK3/CARD9/CSF2RB/CD40/BTK/NR4A1/GBP2/TREM2/SPON2/ADM/TICAM2/CEBPB/PYCARD/PLSCR3/CCL2/HAVCR2/C2/IL10RA/NFKBIB/PPARD/CD180/CD14/THBD/GJB6/TLR10/CD96/TNFRSF1B/KLRK1/MAP2K3/ACP5/ZFP36/GJB2/MMP3/TSPO/CCR7/HNRNPA0/PTGIR/CX3CL1/PALM3/TLR9/TICAM1/IL18BP/MAOB/PABPN1/IRF5/IRF8/CTSG/CX3CR1/S100A7/LY86/IL36G/LGALS9/PTGER1/FMO1/CCR5/NOS2/CEBPE/CXCL10/IDO1/S100A8/IL36B/IL12B/CXCL9/FOXP3/CNR2/LTA/CCL27/PENK/CD6/IL36RN/FASLG/LDOC1/IL1F10/TIFAB/IL36A",125
"GO:0002429","immune response-activating cell surface receptor signaling pathway","114/3774","340/18805",0.335294117647059,1.67069578228748,6.25349071796909,3.05965422033747e-09,5.17991190167402e-07,4.19124753084635e-07,"ERMAP/BCAR1/GPS2/GRB2/KHDRBS1/STK11/NINJ1/RPS3/LAT2/PLA2G6/PTPN6/BTN3A3/IKBKG/DUSP22/LIMK1/RBCK1/ECSIT/DAB2IP/SYK/SHB/LGALS3/CACNB3/BAG6/THEMIS2/SRC/IRF3/RELA/TNIP2/PHPT1/FGR/LCP2/PLD2/BLNK/MYD88/HRAS/FCN3/NR1D1/LAPTM5/NAGLU/ZNRF1/NR1H3/PIK3AP1/HCK/FCGR2B/NOD2/THY1/SPPL3/BTK/HLA-A/TREM2/SKAP1/PRKCD/TICAM2/ICOSLG/NECTIN2/CSK/CD81/FCER1G/PRAM1/FCHO1/CD38/THEMIS/BAX/PRKD2/CD14/LIME1/ITK/SH2B2/KLRK1/CCR7/PVRIG/FCMR/CD300A/TICAM1/MYO1G/TYROBP/PRKCB/NFAM1/CD8B/LILRB4/TESPA1/HLA-DPB1/LCK/LAT/CD3G/HLA-DQB1/FFAR2/CTLA4/BTNL9/SH2D1A/SLA2/HLA-DRB1/FCRL3/NOS2/UBASH3A/LAX1/PLPP4/CD8A/KLRC1/CD247/FOXP3/ZAP70/BLK/FCER2/TRAT1/CD79B/CD3D/NCR3/CD3E/CR2/ZNF683/CD19/MS4A1/CD79A",114
"GO:0050900","leukocyte migration","126/3774","395/18805",0.318987341772152,1.58944275623352,5.93260482009235,1.41294996382621e-08,1.80626909661375e-06,1.46151537611669e-06,"RAC1/AKT1/BSG/SLC8B1/NINJ1/PTK2B/PECAM1/PIP5K1C/F11R/IL16/SYK/LGALS3/JAGN1/B4GALT1/SRC/SIRPA/BST1/RPS19/CSF1R/MYD88/EMP2/ANXA1/PLA2G7/LGMN/JAM3/HCK/NOD2/TMEM102/MIF/THY1/MAPK3/RIPK3/TREM2/NBL1/PDGFB/RIN3/CD9/SFTPD/PYCARD/GPSM3/RAC3/CCL2/HSD3B7/GAS6/CD81/FCER1G/IL34/CD34/IL17RC/CCL4L1/RARRES2/AIF1/PERP/TRPV4/TRPM4/PODXL2/TNFRSF14/VEGFB/KLRK1/ITGA7/CXCL16/PGF/HMOX1/ZNF580/EDN2/CCR7/TGFB1/CD200/CX3CL1/CCL26/CCL3/PLVAP/ITGB7/CXCR5/SELL/CD300A/SLAMF8/SPNS2/MYO1G/CXCL11/CORO1A/CXCR4/PADI2/CCL22/CTSG/ASB2/CCL4/LCK/CX3CR1/CHST2/S100A7/S100A12/ITGB2/SELPLG/SLAMF1/FFAR2/VEGFD/LGALS9/ADORA1/CCR5/JAML/CRTAM/S100A9/CCL13/SPN/CXCL10/TBX21/CCL11/MDK/S100A8/FUT7/CD74/CXCL9/CXCL17/DBH/ITGAL/ASCL2/CNR2/CCL27/ZAP70/CD177/LEP/TNFRSF18/FOXJ1/CXCR3/GPR15",126
"GO:0003012","muscle system process","143/3774","467/18805",0.306209850107066,1.52577536599454,5.76520589759848,2.8721258628823e-08,3.16861614001878e-06,2.56383792333643e-06,"CALM3/CALM1/TNFRSF1A/CTDP1/GTF2IRD1/RANGRF/SMAD3/GSTO1/SPHK1/FKRP/SELENON/ORMDL3/LMNA/SMAD7/SRF/DAPK3/RCSD1/FKBP1A/KCNQ1/SNTA1/ALDOA/NOL3/LMCD1/MYL5/NOTCH1/STUB1/BIN1/ATP1B1/NOS3/NPNT/EMD/GRK2/APBB1/CAMTA2/NR4A1/LMOD1/GSK3A/ATP1A1/CHRNE/DMPK/CNN1/NFATC1/GSN/CD38/NMU/GATM/KCNE5/TRPV4/TRPM4/ADRA2C/KCND3/PRKACA/VEGFB/LTB4R/SLC9A1/TNFRSF1B/REM1/MAP2K3/G6PD/JUP/GAA/SLC6A8/RGS4/HMOX1/EDN2/SCN1B/CACNA1H/GAMT/KCNE3/CRYAB/TMOD1/TNNT1/KCNE2/MYBPC3/TNNT2/CXCR4/PABPN1/ASB2/PPP1R13L/SCO2/MLIP/CASQ2/CHRNA1/KCNIP1/SCN4B/ADORA1/P2RX1/MYOM2/RYR1/SCN2B/ADRA2B/TMOD4/KCNJ12/CLCN1/CKMT2/FXYD1/SCN4A/ADRA2A/GDF1/MYL4/LMOD3/MYL3/KLHL41/PRKAG3/HRC/MYBPH/TNNI1/SLN/MYH14/ATP1A2/TNNC1/UTS2/CAV3/SGCA/TNNT3/GSTM2/CASQ1/SCNN1B/LMOD2/TNNI3K/DCANP1/HAND2/MYH7/STAC3/DES/TRIM72/MYH1/CACNA1S/GALR2/MYH2/LEP/JSRP1/MYL2/ATP2A1/CAMK2B/MYOD1/ACTA1/TIFAB/CACNG1/TNNC2/MYOZ1/MYH6/TCAP",143
