"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002697","regulation of immune effector process","156/3774","414/18805",0.376811594202899,1.87756810518959,9.04712229081771,4.47519968702966e-17,1.44087794209436e-13,1.16586463856697e-13,"SLC15A4/GFER/GRB2/MAD2L2/HK1/BRD4/PARP3/GPI/ARRB2/PTPN6/CUEDC2/CD86/DUSP22/TRAF2/STX4/SYK/SHB/LGALS3/ARID5A/STXBP1/SMAD7/DDRGK1/PRKCZ/FGR/MAPKAPK2/RPS19/HLA-E/INAVA/HLX/UNC13D/TAP2/IL4I1/MYD88/JUNB/ANXA1/FCN3/GATA2/FES/LAMP1/LAPTM5/KMT5C/SPHK2/STAT5A/FCGR2B/NOD2/MIF/HMCES/VAMP8/CARD9/RIPK3/CD40/BTK/HLA-A/TREM2/RASGRP1/SPON2/GPRC5B/STXBP2/ZBTB7B/HLA-F/NECTIN2/PYCARD/BATF/GRN/CD81/HAVCR2/PRAM1/PKP3/TNFSF13/HLA-C/HLA-B/TRPM4/TNFRSF14/TREX1/CFP/CD96/PIK3R6/TNFRSF1B/KLRK1/ACP5/SUSD4/NECTIN4/SECTM1/NLRX1/TGFB1/TLR9/CD300A/TICAM1/SLAMF8/EVPL/RAET1L/TYROBP/BST2/LILRB4/IRF5/SPI1/CX3CR1/IL12RB1/HLA-DMB/HLA-DRA/ITGB2/SLAMF1/SLAMF6/CD244/FFAR2/SERPING1/NCR1/CALHM6/SH2D1A/LGALS9/SASH3/WAS/SPINK5/HLA-DRB1/CRTAM/DNASE1L3/S100A9/FCRL3/NOS2/SPN/TBX21/CD1C/PGLYRP2/FUT7/IL12B/CD74/TNFRSF4/KLRC1/TIGIT/PLA2G3/NCF1/PGLYRP3/ASCL2/FOXP3/LTA/FCER2/PDCD1/CD177/LAG3/CD1E/KLRB1/POMC/CD40LG/CD1A/NCR3/CR2/IL2RG/HLA-H/LEP/ZNF683/KIR2DL4/MZB1/CD7/CD1B/FOXJ1/HLA-G",156
"GO:0030098","lymphocyte differentiation","161/3774","432/18805",0.372685185185185,1.8570071296787,9.02959772498019,4.60050428510333e-17,1.44087794209436e-13,1.16586463856697e-13,"ARID1A/TUSC2/GPS2/SMARCA4/KLHL25/TCF3/STK11/KAT2A/ZMIZ1/LMBR1L/BRD4/SART1/ITPKB/BAD/BAK1/PATZ1/LRRC8A/TYRO3/PTK2B/PTPN6/CD86/SOCS3/ACTB/SYK/SHB/IL15RA/SLC25A5/SLC4A2/SMAD7/DDRGK1/TP53/PRKCZ/SRF/BLNK/HLX/IL4I1/CMTM7/JUNB/ANXA1/DLL4/HDAC5/IRF1/MEN1/PRDM1/STAT5A/ZFP36L2/ITM2A/FCGR2B/TCIRG1/CLPTM1/RIPK3/PIK3R2/BTK/ERBB2/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/JAG2/VSIR/ICOSLG/ARMC5/FZD7/ZBTB7B/ZBTB7A/KDELR1/BATF/TCF7/GAS6/FCER1G/CLEC4E/ZFPM1/THEMIS/BAX/RHOH/ICOS/RELB/SYVN1/RUNX3/WNT4/ITK/LFNG/PIK3R6/SOX12/FLT3LG/MAFB/NRARP/FZD9/SOCS1/CCR7/TGFB1/TLR9/IKZF1/SLAMF8/MFNG/PRR7/EGR3/NFAM1/LILRB4/TESPA1/PAX5/LYL1/IRF8/SEMA4A/LCK/SPI1/RORC/CD3G/IL12RB1/CD4/HLA-DRA/SLAMF1/SLAMF6/WNT1/CTLA4/LGALS9/SASH3/SPINK5/EGR1/HLA-DRB1/CRTAM/FCRL3/FOXN1/SPN/TBX21/MDK/CDKN2A/CD8A/IL36B/PGLYRP2/FUT7/IL12B/CD74/KLRC1/HLA-DOA/PGLYRP3/ASCL2/FOXP3/LY9/BCL3/ZAP70/POU2AF1/LAG3/CD79B/CD3D/LY6D/CD40LG/CD3E/CR2/CD2/IL2RG/LEP/ZNF683/FOXJ1/CD19/MS4A1/HLA-G/CD27/CD79A/PLA2G2D",161
"GO:0050863","regulation of T cell activation","146/3774","395/18805",0.369620253164557,1.84173525722297,8.47187040884475,3.02098325286951e-15,6.30781303199154e-12,5.10387170616376e-12,"ARID1A/AKT1/SMARCA4/KLHL25/KAT2A/ZMIZ1/EFNB1/BRD4/SART1/ITPKB/BAD/RPS3/PTPN6/DHPS/CD86/DUSP22/ACTB/SYK/SHB/LGALS3/SLC4A2/SRC/SMAD7/PRKCZ/SIRPA/HLA-E/GPNMB/HLX/NCK2/IL4I1/JUNB/ANXA1/IRF1/LAPTM5/PRDM1/STAT5A/SCRIB/NOD2/CLPTM1/THY1/RIPK3/ERBB2/HLA-A/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/VSIR/CEBPB/ICOSLG/ZBTB7B/SFTPD/FLOT2/PYCARD/CSK/BATF/TCF7/CCL2/CD81/HAVCR2/FCHO1/AIF1/RHOH/ICOS/RUNX3/IGFBP2/TNFRSF14/TREX1/CCDC88B/PIK3R6/TNFRSF1B/KLRK1/SOX12/NRARP/SOCS1/CCR7/TGFB1/CD300A/HLA-DRB5/CORO1A/EGR3/LILRB4/HLA-DPA1/TESPA1/CTSG/LGALS9B/HLA-DPB1/LCK/HLA-DQA1/LAT/IL12RB1/HLA-DMB/CD4/HLA-DQB1/HLA-DRA/SLAMF1/HLA-DMA/CTLA4/LGALS9/SASH3/SPINK5/HLA-DRB1/CRTAM/RASAL3/LGALS9C/FOXN1/SPN/LAX1/TBX21/MDK/CDKN2A/IDO1/IL36B/LMO1/IL12B/CD74/TIGIT/TMIGD2/CD5/SIRPB1/TNFAIP8L2/HLA-DOA/ASCL2/FOXP3/SIT1/IGF2/ZAP70/CD6/PDCD1/LAG3/CD40LG/CD3E/CD2/IL2RG/LEP/PLA2G2F/ZNF683/SIRPG/FOXJ1/HLA-DQA2/ADORA2A/HLA-DQB2/HLA-G/CD27/PLA2G2D",146
"GO:0002703","regulation of leukocyte mediated immunity","104/3774","260/18805",0.4,1.99311075781664,8.07984581416314,9.73013170948546e-14,1.52373862570542e-10,1.23291011003086e-10,"SLC15A4/GFER/GRB2/MAD2L2/PARP3/ARRB2/PTPN6/DUSP22/TRAF2/STX4/SYK/ARID5A/STXBP1/SMAD7/PRKCZ/FGR/HLA-E/UNC13D/TAP2/IL4I1/GATA2/FES/LAMP1/KMT5C/SPHK2/FCGR2B/NOD2/HMCES/VAMP8/RIPK3/CD40/BTK/HLA-A/TREM2/RASGRP1/STXBP2/HLA-F/NECTIN2/CD81/HAVCR2/PRAM1/TNFSF13/HLA-C/HLA-B/TRPM4/CD96/PIK3R6/TNFRSF1B/KLRK1/SUSD4/NECTIN4/SECTM1/TGFB1/TLR9/CD300A/TICAM1/RAET1L/TYROBP/BST2/LILRB4/SPI1/CX3CR1/IL12RB1/HLA-DRA/ITGB2/SLAMF1/SLAMF6/NCR1/CALHM6/SH2D1A/LGALS9/SASH3/WAS/HLA-DRB1/CRTAM/DNASE1L3/NOS2/SPN/TBX21/CD1C/FUT7/IL12B/KLRC1/TIGIT/PLA2G3/FOXP3/LTA/FCER2/PDCD1/CD177/LAG3/CD1E/KLRB1/POMC/CD1A/NCR3/CR2/HLA-H/LEP/KIR2DL4/CD7/CD1B/FOXJ1/HLA-G",104
"GO:0051251","positive regulation of lymphocyte activation","125/3774","337/18805",0.370919881305638,1.84821101429585,7.87301460126284,2.25194663293683e-13,2.82123874174326e-10,2.28276274475596e-10,"ARID1A/AKT1/SMARCA4/KLHL25/TCF3/MAD2L2/ZMIZ1/EFNB1/BRD4/SART1/ITPKB/BAD/RPS3/PTPN6/CD320/DHPS/CD86/ACTB/SYK/SHB/IL15RA/SRC/DDRGK1/PRKCZ/TNIP2/AKIRIN2/SIRPA/BST1/HLA-E/HLX/NCK2/IL4I1/MYD88/ANXA1/CDKN1A/KMT5C/NOD2/MIF/HMCES/THY1/CD40/BTK/HLA-A/WNT10B/IL2RA/RASGRP1/SOX13/VSIR/ICOSLG/ZBTB7B/FLOT2/PYCARD/CSK/WNT3A/CCL2/GAS6/CD81/HAVCR2/FCHO1/CD38/TNFSF13/AIF1/RHOH/ICOS/BLOC1S3/RUNX3/IGFBP2/FCGR3A/TNFRSF14/CCDC88B/PIK3R6/KLRK1/SOX12/SOCS1/CCR7/TGFB1/TLR9/TICAM1/HLA-DRB5/CORO1A/TYROBP/EGR3/LILRB4/HLA-DPA1/TESPA1/HLA-DPB1/LCK/HLA-DQA1/SPI1/IL12RB1/HLA-DMB/CD4/HLA-DQB1/HLA-DRA/SLAMF1/HLA-DMA/LGALS9/SASH3/HLA-DRB1/RASAL3/FCRL3/SPN/TBX21/MDK/IL36B/IL12B/CD74/TNFRSF4/TMIGD2/CD5/SIRPB1/HLA-DOA/FOXP3/IGF2/ZAP70/CD6/CD40LG/CD3E/IL2RG/LEP/SIRPG/HLA-DQA2/HLA-DQB2/HLA-G/CD27",125
"GO:0007159","leukocyte cell-cell adhesion","150/3774","433/18805",0.346420323325635,1.72613518286661,7.65976315876193,5.76143787030333e-13,6.01494113659667e-10,4.86689883254571e-10,"ARID1A/AKT1/SMARCA4/KLHL25/ZMIZ1/EFNB1/BRD4/SART1/ITPKB/BAD/RPS3/PECAM1/PTPN6/DHPS/CD86/DUSP22/F11R/ACTB/SYK/SHB/LGALS3/SLC4A2/SRC/SMAD7/PRKCZ/RELA/SIRPA/HLA-E/GPNMB/HLX/NCK2/IL4I1/ANXA1/IRF1/LAPTM5/STAT5A/SCRIB/NOD2/KLF4/THY1/ERBB2/HLA-A/SKAP1/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/VSIR/CEBPB/ICOSLG/ZBTB7B/SFTPD/SEMA4D/FLOT2/PYCARD/CSK/CCL2/CD81/HAVCR2/FCHO1/AIF1/RHOH/ICOS/RUNX3/PODXL2/IGFBP2/TNFRSF14/CCDC88B/PIK3R6/KLRK1/SOX12/NRARP/SOCS1/CCR7/TGFB1/ITGB7/SELL/CD300A/FERMT3/HLA-DRB5/BMP7/CORO1A/EGR3/LILRB4/HLA-DPA1/TESPA1/CTSG/LGALS9B/HLA-DPB1/LCK/HLA-DQA1/CX3CR1/IL12RB1/CHST2/HLA-DMB/CD4/HLA-DQB1/HLA-DRA/ITGB2/SELPLG/SLAMF1/HLA-DMA/CTLA4/LGALS9/SASH3/HLA-DRB1/CRTAM/RASAL3/S100A9/LGALS9C/SPN/LAX1/TBX21/MDK/CDKN2A/IDO1/S100A8/IL36B/FUT7/IL12B/CD74/TIGIT/TMIGD2/CD5/SIRPB1/TNFAIP8L2/HLA-DOA/ITGAL/ASCL2/FOXP3/IGF2/ZAP70/CD6/PDCD1/CD177/LAG3/CD40LG/CD3E/IL2RG/LEP/PLA2G2F/SIRPG/FOXJ1/HLA-DQA2/ADORA2A/HLA-DQB2/HLA-G/CD27/PLA2G2D",150
"GO:0002696","positive regulation of leukocyte activation","133/3774","372/18805",0.35752688172043,1.78147668541407,7.6281920062777,9.04454409230234e-13,8.09357488488313e-10,6.54879395555425e-10,"ARID1A/AKT1/SMARCA4/KLHL25/TCF3/MAD2L2/ZMIZ1/EFNB1/BRD4/SART1/ITPKB/BAD/RPS3/PTPN6/CD320/DHPS/CD86/ACTB/IL16/SYK/SHB/IL15RA/SRC/DDRGK1/PRKCZ/TNIP2/AKIRIN2/SIRPA/BST1/HLA-E/HLX/NCK2/IL4I1/MYD88/ANXA1/CDKN1A/KMT5C/SPHK2/NOD2/MIF/HMCES/THY1/CD40/BTK/HLA-A/TREM2/WNT10B/IL2RA/RASGRP1/SOX13/VSIR/ICOSLG/ZBTB7B/NECTIN2/FLOT2/PYCARD/CSK/WNT3A/CCL2/GAS6/CD81/HAVCR2/FCHO1/CD38/TNFSF13/AIF1/RHOH/ICOS/BLOC1S3/RUNX3/IGFBP2/FCGR3A/TNFRSF14/CCDC88B/PIK3R6/KLRK1/SOX12/SOCS1/CCR7/TGFB1/CCL3/TLR9/TICAM1/HLA-DRB5/CORO1A/TYROBP/EGR3/LILRB4/HLA-DPA1/TESPA1/HLA-DPB1/LCK/HLA-DQA1/SPI1/IL12RB1/HLA-DMB/CD4/HLA-DQB1/HLA-DRA/SLAMF1/HLA-DMA/LGALS9/SASH3/HLA-DRB1/RASAL3/FCRL3/SPN/CEBPA/TBX21/MDK/IL36B/IL12B/CD74/TNFRSF4/TMIGD2/CD5/SIRPB1/HLA-DOA/FOXP3/IGF2/ZAP70/CD6/CD40LG/HAMP/CD3E/CD2/IL2RG/LEP/SIRPG/HLA-DQA2/HLA-DQB2/HLA-G/CD27",133
"GO:0019884","antigen processing and presentation of exogenous antigen","33/3774","50/18805",0.66,3.28863275039746,8.11960136880679,2.20501019418141e-12,1.72652298204405e-09,1.39699001118204e-09,"DNM2/MFSD6/CTSF/HLA-E/TAP2/LGMN/CTSS/FCGR2B/PSME1/UNC93B1/HLA-A/HLA-F/CLEC4A/FCER1G/CTSD/IFI30/HLA-DRB5/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DMB/HLA-DQB1/HLA-DRA/HLA-DMA/HLA-DRB1/CD1C/CD74/HLA-DOA/CD1E/CD1A/CD1B/HLA-DQA2/HLA-DQB2",33
"GO:0030217","T cell differentiation","118/3774","324/18805",0.364197530864198,1.81471504183923,7.41220868412501,4.33346328026422e-12,3.0160904430639e-09,2.44042405783301e-09,"ARID1A/SMARCA4/KLHL25/STK11/KAT2A/ZMIZ1/LMBR1L/BRD4/SART1/ITPKB/BAD/PATZ1/CD86/SOCS3/ACTB/SYK/SHB/SLC4A2/SMAD7/TP53/PRKCZ/SRF/HLX/IL4I1/JUNB/ANXA1/DLL4/IRF1/MEN1/PRDM1/STAT5A/ZFP36L2/TCIRG1/CLPTM1/RIPK3/PIK3R2/ERBB2/WNT10B/DTX1/IL2RA/RASGRP1/SOX13/JAG2/VSIR/ICOSLG/ARMC5/FZD7/ZBTB7B/KDELR1/BATF/TCF7/FCER1G/CLEC4E/ZFPM1/THEMIS/RHOH/ICOS/RELB/RUNX3/WNT4/ITK/LFNG/PIK3R6/SOX12/MAFB/NRARP/SOCS1/CCR7/TGFB1/PRR7/EGR3/LILRB4/TESPA1/SEMA4A/LCK/SPI1/RORC/CD3G/IL12RB1/CD4/HLA-DRA/SLAMF6/WNT1/CTLA4/LGALS9/SASH3/SPINK5/EGR1/HLA-DRB1/CRTAM/FOXN1/SPN/TBX21/MDK/CDKN2A/CD8A/IL36B/FUT7/IL12B/CD74/KLRC1/HLA-DOA/ASCL2/FOXP3/LY9/BCL3/ZAP70/LAG3/CD3D/CD3E/CD2/IL2RG/LEP/ZNF683/FOXJ1/HLA-G/CD27/PLA2G2D",118
"GO:0002443","leukocyte mediated immunity","160/3774","483/18805",0.331262939958592,1.65060932324359,7.25837730892189,6.11942245888641e-12,3.83320622824645e-09,3.10158096205664e-09,"SLC15A4/GFER/TUSC2/GNL1/GRB2/MAD2L2/NDST2/PARP3/UNG/HPRT1/ARRB2/LAT2/PTPN6/BTN3A3/DUSP22/PLEKHM2/TRAF2/STX4/SYK/ARID5A/STXBP1/JAGN1/SMAD7/PRKCZ/FGR/ACE/HLA-E/UNC13D/TAP2/IL4I1/MYD88/EMP2/IRF7/GATA2/FES/LAMP1/KMT5C/SPHK2/FCGR2B/TCIRG1/NOD2/HMCES/VAMP8/CARD9/CSF2RB/RIPK3/CD40/BTK/UNC93B1/HLA-A/TREM2/RASGRP1/SPON2/PRKCD/STXBP2/HLA-F/NECTIN2/BATF/CD81/HAVCR2/FCER1G/C2/PRAM1/SLAMF7/TNFSF13/HLA-C/HLA-B/TRPM4/FCGR3A/TREX1/CD96/PIK3R6/TNFRSF1B/KLRK1/SUSD4/NECTIN4/SECTM1/TGFB1/FCMR/CCL3/TLR9/CD300A/TICAM1/MYO1G/CORO1A/RAET1L/TYROBP/BST2/LILRB4/CTSG/FCER1A/SPI1/LAT/CX3CR1/IL12RB1/HLA-DRA/ITGB2/SLAMF1/SLAMF6/SERPING1/NCR1/CALHM6/SH2D1A/LGALS9/SASH3/WAS/SLA2/HLA-DRB1/CRTAM/DNASE1L3/NOS2/HCST/SPN/C1QB/TBX21/C1QC/CD1C/CD8A/FUT7/PRF1/VAMP2/IL12B/CD74/PTGDS/KLRC1/TIGIT/PLA2G3/DBH/FOXP3/LTA/BCL3/C1QA/IL2RB/SCNN1B/FCER2/PDCD1/CD177/LAG3/CD1E/KLRB1/POMC/CD40LG/CD1A/NCR3/CR2/CD2/HLA-H/GZMM/GZMB/LEP/KIR2DL4/CD7/NKG7/CD1B/FOXJ1/CD19/HLA-G/GRP/CD27/C4A",160
