"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000725","recombinational repair","78/3211","194/18805",0.402061855670103,2.35464752285154,8.60614832293588,1.66220975005577e-14,7.40523008932062e-11,6.95617291249322e-11,"MCM9/HELB/BRCA2/RPA4/RIF1/ZGRF1/SKP2/FANCB/ATM/FANCM/POLN/REV3L/RAD54B/RNF169/PPP4R2/SMCHD1/RAD51B/ERCC6/SHLD2/XRCC2/MRE11/USP51/SMC5/BRCA1/MMS22L/EID3/EPC1/BLM/AUNIP/WRN/SLF2/RECQL/NABP1/TP53BP1/RAD51AP1/PARPBP/ERCC4/ZMYND8/RAD52/CHEK1/POLQ/CSNK2A1/MCM8/NIPBL/CDC7/SLF1/MORF4L1/UHRF1/SFR1/KLHL15/GEN1/NBN/RAD50/TOPBP1/SMC6/KDM4D/ZFYVE26/ARID2/SETD2/EPC2/CGAS/FIGNL1/EXD2/RBBP8/MORF4L2/RFWD3/INIP/PALB2/RNF138/MCM4/XRCC5/RAD51C/NUCKS1/LIG3/SLX4/NSMCE2/INO80/MBTD1",78
"GO:0000724","double-strand break repair via homologous recombination","76/3211","188/18805",0.404255319148936,2.36749339040665,8.55097861396601,2.55548974968981e-14,7.40523008932062e-11,6.95617291249322e-11,"MCM9/HELB/BRCA2/RPA4/RIF1/SKP2/FANCB/ATM/FANCM/POLN/REV3L/RAD54B/RNF169/PPP4R2/SMCHD1/RAD51B/ERCC6/SHLD2/XRCC2/MRE11/USP51/SMC5/BRCA1/MMS22L/EID3/EPC1/BLM/AUNIP/WRN/SLF2/RECQL/NABP1/TP53BP1/RAD51AP1/PARPBP/ERCC4/ZMYND8/RAD52/CHEK1/POLQ/CSNK2A1/MCM8/NIPBL/CDC7/SLF1/MORF4L1/UHRF1/SFR1/KLHL15/GEN1/NBN/RAD50/TOPBP1/SMC6/KDM4D/ZFYVE26/ARID2/SETD2/EPC2/CGAS/FIGNL1/EXD2/RBBP8/MORF4L2/RFWD3/INIP/PALB2/RNF138/MCM4/RAD51C/NUCKS1/LIG3/SLX4/NSMCE2/INO80/MBTD1",76
"GO:0071459","protein localization to chromosome, centromeric region","29/3211","41/18805",0.707317073170732,4.14235364714282,9.14009658865943,4.56109486087559e-14,7.40523008932062e-11,6.95617291249322e-11,"H4C12/H4C6/H4C13/H4C3/H4C4/H4C2/H4C5/H4C1/H4C9/H2AC4/H2AC8/H4C14/H4C8/H2BC11/H4C11/KNL1/KNTC1/MTBP/CDK1/TTK/SMC5/BUB1B/SPDL1/ZWILCH/HASPIN/ZW10/CENPQ/IK/BUB3",29
"GO:0006334","nucleosome assembly","56/3211","120/18805",0.466666666666667,2.73300114190802,8.64190384753895,4.88874737700651e-14,7.40523008932062e-11,6.95617291249322e-11,"H4C12/H4C6/H1-1/H4C13/H2BC10/H4C3/H4C4/H2BC3/H2BC14/H2BC13/H3C11/H4C2/H4C5/H4C1/H1-5/H3C7/H3C2/H3C3/H1-4/H3C14/H3C12/H1-3/H3C1/H2BC17/H2BC7/H4C9/H3C10/H3C13/H3C8/H2BC15/H2BC9/H3C4/H2BC6/H2BC8/H3C6/H2BC4/H4C14/H3-4/H4C8/H1-6/TSPYL6/H2BC11/H4C11/H1-2/H2BC21/SHPRH/NPM1/ATRX/SMARCA5/ATAD2B/RSF1/ATAD2/BAZ1A/SPTY2D1/SET/NAP1L1",56
"GO:0006310","DNA recombination","117/3211","352/18805",0.332386363636364,1.94659781008465,8.13523017824395,7.82396975097744e-14,9.48108654423446e-11,8.90614830390211e-11,"H1-1/H1-5/H1-4/H1-3/H1-6/TERB1/MCM9/HFM1/HELB/H1-2/BRIP1/BRCA2/RPA4/ANKRD31/IL7R/RIF1/ZGRF1/SKP2/FANCB/ATAD5/ATM/FANCM/POLN/REV3L/RAD54B/BARD1/RNF169/SHOC1/IL10/ZRANB3/PPP4R2/INO80D/SMCHD1/RAD51B/MLH3/ERCC6/SHLD2/XRCC2/MRE11/RNF168/UCHL5/USP51/SMC5/BRCA1/MMS22L/EID3/EPC1/BLM/XRCC4/AUNIP/WRN/SETX/SLF2/RECQL/NABP1/TP53BP1/RAD51AP1/TOP2A/PARPBP/ERCC4/PRKDC/HMGB1/ZMYND8/RAD52/UBR2/CHEK1/POLQ/ERCC1/CSNK2A1/MCM8/NIPBL/CDC7/SLF1/HSF2BP/HSPD1/EXO1/MORF4L1/UHRF1/SFR1/KLHL15/GEN1/NBN/APLF/RAD50/TOPBP1/SMC6/SMARCAD1/KDM4D/ZFYVE26/ARID2/KIN/THAP9/SETD2/FANCD2/EPC2/EME1/CGAS/FIGNL1/EXD2/RBBP8/MORF4L2/RFWD3/TOP2B/INIP/PALB2/RNF138/MCM4/XRCC5/RAD51C/NUCKS1/LIG3/SUPV3L1/SLX4/NSMCE2/INO80/MBTD1/MSH3",117
"GO:0007059","chromosome segregation","135/3211","431/18805",0.31322505800464,1.83438094543048,7.95184060101052,1.6544482849613e-13,1.50826502280615e-10,1.41680301218941e-10,"TERB1/BRIP1/KNL1/ANKRD31/TEX12/CENPE/ASPM/KIF14/MAP9/ATM/LATS1/NDC1/CENPF/SHOC1/KNTC1/CSNK2A2/KIF18A/CEP192/SPC25/ANAPC1/SGO1/TUBB1/MLH3/HECW2/DIAPH3/NUP43/APC/RAD18/CEP97/CDK1/SPICE1/MRE11/TTK/CDC27/SPDYA/SGO2/SMC5/BRCA1/SASS6/SMARCA5/HSPA1B/CENPO/TPR/KIF23/TLK2/HAUS6/CENPC/CHMP2B/SMC3/CCSAP/PIBF1/STIL/DLGAP5/KNSTRN/TOP2A/SKA1/CLASP2/NCOR1/TEX14/HJURP/CENPI/KIF15/AURKA/BUB1B/SPC24/AGO4/CSNK2A1/TPX2/BRD7/SKA3/NIPBL/PBRM1/BUB1/KIF2A/SPDL1/UHRF1/FBXO5/STAG1/GEN1/ITGB3BP/NEK2/NCAPG/SMC6/STAG2/EML4/SMARCAD1/NSL1/ECT2/ARID2/ZWILCH/MAD2L1/SENP6/HASPIN/FANCD2/SMC2/MKI67/ANAPC4/WAPL/SRPK1/HAUS3/PPP2R1B/ZW10/BIRC5/NCAPD3/KIF11/NEK7/WASHC5/NCAPH/USP9X/TUBGCP5/CENPQ/SETDB2/SMC4/SKA2/TOP2B/NR3C1/KIF4A/PTEN/BAZ1B/BCAS2/SIRT1/CDC42/ABRAXAS2/CENPN/RIOK2/RACGAP1/PRC1/DYNC1H1/CDC23/NSMCE2/INO80/BCCIP/GTF2B/IK/BUB3",135
"GO:0034728","nucleosome organization","61/3211","140/18805",0.435714285714286,2.55173065800596,8.36243722260561,1.74250786592558e-13,1.50826502280615e-10,1.41680301218941e-10,"H4C12/H4C6/H1-1/H4C13/H2BC10/H4C3/H4C4/H2BC3/H2BC14/H2BC13/H3C11/H4C2/H4C5/H4C1/H1-5/H3C7/H3C2/H3C3/H1-4/H3C14/H3C12/H1-3/H3C1/H2BC17/H2BC7/H4C9/H3C10/H3C13/H3C8/H2BC15/H2BC9/H3C4/H2BC6/H2BC8/H3C6/H2BC4/H4C14/H3-4/H4C8/H1-6/TSPYL6/H2BC11/H4C11/H1-2/H2BC21/SHPRH/CHD1/NPM1/ATRX/SMARCA5/ATAD2B/RSF1/ATAD2/ARID2/SETD2/CHD2/BAZ1A/SPTY2D1/LIN54/SET/NAP1L1",61
"GO:0034502","protein localization to chromosome","58/3211","131/18805",0.442748091603053,2.59292365699017,8.30191804605292,2.95707561074275e-13,2.23961514068629e-10,2.103803661485e-10,"H4C12/H4C6/H4C13/H4C3/H4C4/H4C2/H4C5/H4C1/H1-5/H4C9/H2AC4/H2AC8/H4C14/H4C8/H2BC11/H4C11/MCM9/BRCA2/KNL1/KNTC1/ATR/ATRX/MTBP/CDK1/TTK/SPDYA/SMC5/MMS22L/XRCC4/SLF2/ZNF827/TP53BP1/ZMYND8/BUB1B/MCM8/NIPBL/SLF1/SPDL1/NBN/CCT6A/APLF/TOPBP1/VCPIP1/ZWILCH/GNL3L/HASPIN/SETD2/WAPL/TASOR/VRK1/ZW10/CENPQ/GNL3/POT1/RAD17/XRCC5/IK/BUB3",58
"GO:0065004","protein-DNA complex assembly","88/3211","242/18805",0.363636363636364,2.12961127940885,8.02562992831054,3.56615072661359e-13,2.40081191695019e-10,2.25522537763739e-10,"H4C12/H4C6/H1-1/H4C13/H2BC10/H4C3/H4C4/H2BC3/H2BC14/H2BC13/H3C11/H4C2/H4C5/H4C1/H1-5/H3C7/H3C2/H3C3/H1-4/H3C14/H3C12/H1-3/H3C1/H2BC17/H2BC7/H4C9/H3C10/H3C13/H3C8/H2BC15/H2BC9/H3C4/H2BC6/H2BC8/H3C6/H2BC4/H4C14/H3-4/H4C8/H1-6/TSPYL6/H2BC11/H4C11/GTF2A1/H1-2/H2BC21/SHPRH/CENPE/BDP1/CENPF/KNTC1/HMBOX1/NPM1/ATRX/PSMC6/SMARCA5/CENPO/TAF2/ATAD2B/CENPC/MED23/ZNF827/DLGAP5/RSF1/HJURP/HMGB1/CENPI/RAD52/MED21/PIAS1/ATAD2/ITGB3BP/TAF5/TAF1/TAF13/SENP6/BAZ1A/SPTY2D1/SET/TAF1B/CENPN/MED1/NAP1L1/RAD51C/TAF9/GTF2A2/GTF2B/RRN3",88
"GO:0071824","protein-DNA complex organization","93/3211","262/18805",0.354961832061069,2.07880948362143,7.9794307716358,3.96709343590492e-13,2.40366191281479e-10,2.25790254820399e-10,"H4C12/H4C6/H1-1/H4C13/H2BC10/H4C3/H4C4/H2BC3/H2BC14/H2BC13/H3C11/H4C2/H4C5/H4C1/H1-5/H3C7/H3C2/H3C3/H1-4/H3C14/H3C12/H1-3/H3C1/H2BC17/H2BC7/H4C9/H3C10/H3C13/H3C8/H2BC15/H2BC9/H3C4/H2BC6/H2BC8/H3C6/H2BC4/H4C14/H3-4/H4C8/H1-6/TSPYL6/H2BC11/H4C11/GTF2A1/H1-2/H2BC21/SHPRH/CENPE/BDP1/CENPF/CHD1/KNTC1/HMBOX1/NPM1/ATRX/PSMC6/SMARCA5/CENPO/TAF2/ATAD2B/CENPC/MED23/ZNF827/DLGAP5/RSF1/HJURP/HMGB1/CENPI/RAD52/MED21/PIAS1/ATAD2/ITGB3BP/TAF5/TAF1/TAF13/ARID2/SENP6/SETD2/CHD2/BAZ1A/SPTY2D1/LIN54/SET/TAF1B/CENPN/MED1/NAP1L1/RAD51C/TAF9/GTF2A2/GTF2B/RRN3",93
