Node,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,PageRank,DegreeCentrality_High,BetweennessCentrality_High,ClosenessCentrality_High,EigenvectorCentrality_High,PageRank_High,HubScore,IsHub,Community
RPL4,0.477612,0.019612,0.610942,0.146122,0.01091,True,True,True,True,True,5,True,0
RPS18,0.472637,0.022993,0.603604,0.137165,0.011024,True,True,True,True,True,5,True,0
RPL23A,0.467662,0.028651,0.616564,0.141057,0.010896,True,True,True,True,True,5,True,0
RPS23,0.462687,0.024731,0.6,0.134796,0.010793,True,True,True,True,True,5,True,0
RPL9,0.457711,0.015669,0.596439,0.139803,0.010541,True,True,True,True,True,5,True,0
RPL11,0.452736,0.032022,0.607251,0.135739,0.011187,True,True,True,True,True,5,True,0
RPLP0,0.432836,0.016344,0.594675,0.136538,0.009944,True,True,True,True,True,5,True,0
RPS2,0.427861,0.028302,0.584302,0.129225,0.010528,True,True,True,True,True,5,True,0
RPL7,0.427861,0.011184,0.59292,0.136559,0.009709,True,True,True,True,True,5,True,0
RPL13A,0.41791,0.013051,0.577586,0.133236,0.009546,True,True,True,True,True,5,True,0
RPS7,0.412935,0.017245,0.579251,0.126774,0.009486,True,True,True,True,True,5,True,0
RPL26,0.412935,0.016534,0.57265,0.133991,0.009848,True,True,True,True,True,5,True,0
RPL17,0.412935,0.007801,0.57265,0.133674,0.0094,True,False,True,True,True,4,True,0
RPS3A,0.40796,0.010475,0.566197,0.127516,0.009331,True,True,True,True,True,5,True,0
RPL30,0.402985,0.014669,0.571023,0.130938,0.009137,True,True,True,True,True,5,True,0
RPL18A,0.39801,0.006704,0.561453,0.131517,0.008962,True,False,True,True,True,4,True,0
RPS28,0.393035,0.008988,0.561453,0.124115,0.008986,True,False,True,True,True,4,True,0
RPL21,0.393035,0.005918,0.555249,0.130104,0.008861,True,False,True,True,True,4,True,0
GTPBP4,0.38806,0.014935,0.574286,0.103225,0.009239,True,True,True,True,True,5,True,0
RPL7A,0.38806,0.00843,0.552198,0.126188,0.008836,True,False,True,True,True,4,True,0
RPL6,0.38806,0.005826,0.556787,0.129346,0.008734,True,False,True,True,True,4,True,0
RPL15,0.38806,0.005702,0.553719,0.129143,0.008757,True,False,True,True,True,4,True,0
RSL24D1,0.378109,0.016851,0.559889,0.11006,0.008857,True,True,True,True,True,5,True,0
RPS27,0.378109,0.008049,0.556787,0.120541,0.008657,True,False,True,True,True,4,True,0
RPL38,0.373134,0.00654,0.559889,0.125857,0.008433,True,False,True,True,True,4,True,0
RPS27A,0.368159,0.016369,0.530343,0.115807,0.009018,True,True,True,True,True,5,True,0
RPL7L1,0.368159,0.00509,0.553719,0.123455,0.008375,True,False,True,True,True,4,True,0
MRPL3,0.363184,0.050269,0.561453,0.107531,0.00994,True,True,True,True,True,5,True,0
WDR12,0.363184,0.021901,0.558333,0.094192,0.009229,True,True,True,True,True,5,True,0
RPL27A,0.363184,0.004972,0.544715,0.122112,0.008219,True,False,True,True,True,4,True,0
RPL26L1,0.363184,0.003743,0.54918,0.124285,0.00826,True,False,True,True,True,4,True,0
RPL10,0.358209,0.004944,0.553719,0.121436,0.008204,True,False,True,True,True,4,True,0
BOP1,0.353234,0.01481,0.547684,0.093575,0.008736,True,True,True,True,True,5,True,0
RPSA,0.353234,0.014246,0.540323,0.117122,0.008698,True,True,True,True,True,5,True,0
MED1,0.353234,0.004546,0.541779,0.117781,0.00817,True,False,True,True,True,4,True,0
PA2G4,0.348259,0.012109,0.558333,0.113876,0.008209,True,True,True,True,True,5,True,0
RPL12,0.348259,0.003635,0.546196,0.119977,0.007943,True,False,True,True,True,4,True,0
MRPL13,0.333333,0.031535,0.534574,0.100275,0.00911,True,True,True,True,True,5,True,0
MRPS10,0.333333,0.018854,0.537433,0.104491,0.008224,True,True,True,True,True,5,True,0
RPL37,0.328358,0.0029,0.514066,0.114218,0.007422,True,False,False,True,True,3,True,0
RPS26,0.328358,0.002804,0.531746,0.113737,0.007488,True,False,True,True,True,4,True,0
KRR1,0.323383,0.022467,0.534574,0.069959,0.008551,True,True,True,False,True,4,True,0
RPS27L,0.323383,0.004823,0.536,0.107876,0.007447,True,False,True,True,True,4,True,0
RPL22,0.323383,0.001879,0.527559,0.115721,0.007259,True,False,True,True,False,3,True,0
RPL24,0.318408,0.002617,0.526178,0.111725,0.007292,True,False,True,True,False,3,True,0
NSA2,0.313433,0.007033,0.537433,0.103835,0.007239,True,False,True,True,False,3,True,0
RPS10,0.313433,0.002501,0.527559,0.110111,0.007164,True,False,True,True,False,3,True,0
POLR1B,0.308458,0.037112,0.552198,0.077792,0.008772,True,True,True,False,True,4,True,0
RPL36A,0.308458,0.001437,0.523438,0.111657,0.006961,True,False,True,True,False,3,True,0
WDR36,0.298507,0.014552,0.523438,0.058979,0.008217,False,True,True,False,True,3,True,0
BMS1,0.298507,0.01016,0.527559,0.063026,0.00777,False,True,True,False,True,3,True,0
POLR1A,0.268657,0.027843,0.538874,0.06615,0.00783,False,True,True,False,True,3,True,0
BUB1B,0.572519,0.139763,0.639024,0.186804,0.025002,True,True,True,True,True,5,True,1
CDK1,0.564885,0.143923,0.629808,0.18668,0.027402,True,True,True,True,True,5,True,1
BUB1,0.48855,0.042551,0.598174,0.182287,0.02018,True,True,True,True,True,5,True,1
KIF11,0.450382,0.022755,0.559829,0.177749,0.01828,True,True,True,True,True,5,True,1
CCNA2,0.442748,0.041954,0.579646,0.174583,0.018965,True,True,True,True,True,5,True,1
CENPE,0.442748,0.022459,0.559829,0.172327,0.018041,True,True,True,True,True,5,True,1
MAD2L1,0.427481,0.034122,0.574561,0.156553,0.017923,True,True,True,True,True,5,True,1
TTK,0.419847,0.023256,0.579646,0.171553,0.016982,True,True,True,True,True,5,True,1
CENPF,0.40458,0.014943,0.545833,0.164983,0.016297,True,False,True,True,True,4,True,1
NCAPG,0.396947,0.044562,0.55042,0.165321,0.017357,True,True,True,True,True,5,True,1
DLGAP5,0.389313,0.006261,0.541322,0.168811,0.015356,True,False,True,True,True,4,True,1
