Node,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,PageRank,DegreeCentrality_High,BetweennessCentrality_High,ClosenessCentrality_High,EigenvectorCentrality_High,PageRank_High,HubScore,IsHub,Community
CD4,0.446097,0.391475,0.587336,0.365614,0.048084,True,True,True,True,True,5,True,0
CCR7,0.234201,0.064676,0.47193,0.26356,0.022451,True,True,True,True,True,5,True,0
CD27,0.200743,0.059949,0.474427,0.224773,0.0204,True,True,True,True,True,5,True,0
GZMB,0.163569,0.026218,0.459044,0.21756,0.015554,True,True,True,True,True,5,True,0
TYROBP,0.159851,0.111081,0.419657,0.075251,0.022899,True,True,True,True,True,5,True,0
CCL2,0.159851,0.050101,0.449082,0.155941,0.015775,True,True,True,True,True,5,True,0
ZAP70,0.148699,0.064068,0.459829,0.116678,0.017274,True,True,True,True,True,5,True,0
LAG3,0.148699,0.052123,0.445364,0.158974,0.016105,True,True,True,True,True,5,True,0
KLRK1,0.137546,0.055546,0.459044,0.144946,0.015145,True,True,True,True,True,5,True,0
CD68,0.130112,0.041673,0.449833,0.125988,0.01465,True,True,True,True,True,5,True,0
LCP2,0.126394,0.057927,0.439542,0.077554,0.016451,True,True,True,True,True,5,True,0
TBX21,0.126394,0.023195,0.448333,0.170533,0.012831,True,True,True,True,True,5,True,0
CD79A,0.122677,0.067629,0.435275,0.085732,0.014772,True,True,True,True,True,5,True,0
CD38,0.118959,0.019304,0.446103,0.138063,0.012192,True,True,True,True,True,5,True,0
GZMA,0.111524,0.01746,0.429712,0.139758,0.010857,True,True,True,True,True,5,True,0
CD8A,0.104089,0.032944,0.457483,0.162393,0.010162,True,True,True,True,True,5,True,0
KLRB1,0.100372,0.012593,0.435275,0.142338,0.009907,True,True,True,True,True,5,True,0
IL2RB,0.100372,0.008917,0.431782,0.139683,0.0099,True,True,True,True,True,5,True,0
CX3CL1,0.096654,0.010235,0.373093,0.10286,0.009203,True,True,False,True,True,4,True,0
CCL17,0.096654,0.006634,0.411315,0.118234,0.008906,True,True,True,True,True,5,True,0
CCL22,0.092937,0.003867,0.415765,0.119828,0.008419,True,False,True,True,True,4,True,0
CCL27,0.089219,0.001819,0.359626,0.090871,0.008268,True,False,False,True,True,3,True,0
GZMK,0.085502,0.006063,0.39911,0.108269,0.008246,True,True,False,True,True,4,True,0
