#node1	node2	combined_score
MRPS10	MRPS35	999
ESF1	CSNK2A1	720
SIRT1	CSNK2A1	835
POLE2	ORC6	734
FAM107B	AGO2	770
MRPS10	RPL18A	973
SIRT1	NAMPT	993
ESF1	TWISTNB	870
RRN3	TWISTNB	999
GTPBP10	MRPL32	918
MRPS10	MRPL32	998
MRPS35	MRPL32	994
RPL18A	NUFIP2	726
SIRT1	RPS6KB1	712
RPAP3	POLR3B	823
MRPS10	POLR3B	862
TWISTNB	POLR3B	881
POLE2	RAD51AP1	738
ESF1	KRR1	957
TWISTNB	KRR1	830
SALL4	NANOG	999
BOD1L1	HCFC2	851
LAMB1	LAMA4	992
KRR1	MTREX	901
SETX	MTREX	737
TARBP1	MTREX	832
SIRT1	NUDT12	911
NAMPT	NUDT12	908
CRY1	NR3C1	914
MGP	GGCX	951
ESF1	CEBPZ	928
MTREX	CEBPZ	875
KRR1	CEBPZ	900
TWISTNB	CEBPZ	832
POLR3B	CEBPZ	841
ORC6	ORC2	999
CEBPZ	DDX55	767
KRR1	DDX55	731
MTREX	PAPOLG	994
EXOC2	RHOQ	703
CEBPZ	NFYB	903
WNT3	FZD3	863
VRK1	COIL	715
AURKA	NCAPH	814
AGO2	ZC3HAV1	715
HSPB11	IFT81	998
IFT81	TTC21B	938
HSPB11	TTC21B	819
VRK1	H4C6	878
CBX5	H4C6	911
STAG2	H4C6	762
SIRT1	H4C6	906
RIF1	H4C6	780
H1-3	H1-1	731
BBS9	BBS2	999
GNB4	PTGER2	791
RB1CC1	ATG14	999
FBXO5	DLGAP5	718
AURKA	DLGAP5	966
NCAPH	DLGAP5	818
RAD51AP1	DLGAP5	884
APOB	CANX	794
TAS2R3	TAS2R4	885
GNB4	GNGT1	999
FGFR1OP2	STRIP2	854
ZW10	COPB1	763
NUDCD1	COPB1	710
CANX	COPB1	771
COPB1	LMAN1	920
CANX	LMAN1	897
GNB4	GNAT2	831
GNGT1	GNAT2	972
AURKA	NCAPG	952
RAD51AP1	NCAPG	911
DLGAP5	NCAPG	948
NCAPH	NCAPG	999
EIF2AK2	EIF2S3	763
EIF3E	EIF2S3	992
RPL18A	EIF2S3	780
KRR1	NOL11	965
SRSF6	RBM39	705
MTREX	RBM39	888
STRADB	PRKAB2	749
CRY1	PRKAB2	923
LSM8	SNRPA1	997
AQR	SNRPA1	999
ATP6V1B1	WDR7	736
MRPS35	PTCD3	999
MRPL32	PTCD3	826
MRPS10	PTCD3	993
AP4S1	AP3B1	803
CRX	PDE6A	784
GNAT2	PDE6A	974
GNGT1	PDE6A	974
IMPG2	PDE6A	780
COIL	USPL1	756
THOC2	XPO4	850
AGO2	KRAS	734
SOS2	KRAS	985
GNB4	KRAS	702
GDAP1	SBF2	741
SOS2	RRAS2	940
GNB4	RRAS2	705
EIF2S3	EIF2S1	999
MRPS10	EIF2S1	909
EIF3E	EIF2S1	994
RPL18A	EIF2S1	870
KRR1	EIF2S1	866
EIF2AK2	EIF2S1	999
H4C6	CDK7	833
ERCC1	CDK7	789
CDK13	CDK7	808
RARS1	NARS1	909
PAPOLG	TUT4	897
WNT3	APC	825
CSNK2A1	APC	749
APC	HRK	786
COPB1	RINT1	737
ZW10	RINT1	999
NAMPT	NT5E	926
ADAT2	NT5E	754
PDE6A	NT5E	741
NUDT12	NT5E	981
ORC6	ORC3	999
H4C6	ORC3	792
ORC2	ORC3	999
POLE2	ORC3	705
RRM2B	MDM2	750
CSNK2A1	MDM2	728
MTREX	MPHOSPH6	997
TPH1	HTR2B	891
POLK	REV1	984
COPB1	COG3	927
RINT1	COG3	734
GOLGA5	COG3	892
YTHDC2	IGF2BP3	836
ERCC1	BRIP1	716
LMAN1	UGGT1	720
CANX	UGGT1	935
ATG14	STX17	999
RB1CC1	STX17	817
H4C6	POU5F1	912
NANOG	POU5F1	999
SALL4	POU5F1	998
THAP1	THAP12	895
EIF2AK2	THAP12	728
SNRPA1	TGS1	724
TFPI	THBS1	809
NCAPG	KIF23	949
NCAPH	KIF23	716
AURKA	KIF23	924
DLGAP5	KIF23	951
NOTCH2	ADAM10	825
MTREX	RSL24D1	905
ESF1	RSL24D1	855
TWISTNB	RSL24D1	856
KRR1	RSL24D1	883
DDX55	RSL24D1	949
RPL18A	RSL24D1	992
CEBPZ	RSL24D1	877
YTHDC2	LRPPRC	719
PTCD3	LRPPRC	804
DLGAP5	KIF11	997
RAD51AP1	KIF11	864
NCAPG	KIF11	975
NCAPH	KIF11	908
FBXO5	KIF11	784
KIF23	KIF11	994
AURKA	KIF11	972
BRIP1	TOPBP1	999
POLE2	TOPBP1	705
ERCC1	TOPBP1	737
TOPBP1	BARD1	998
MDM2	BARD1	821
BRIP1	BARD1	999
H4C6	BARD1	981
TWISTNB	WDR12	836
RSL24D1	WDR12	998
DDX55	WDR12	977
MTREX	WDR12	709
NOL11	WDR12	780
KRR1	WDR12	870
RPL18A	WDR12	923
CEBPZ	WDR12	895
GOLT1B	INTS13	745
CDK7	MNAT1	999
CDK13	MNAT1	780
H4C6	MNAT1	838
AGO2	CCND2	765
CDK7	CCND2	731
ECPAS	PSMC1	837
CSF3	PSMC1	933
SNRPA1	PPWD1	898
AQR	PPWD1	849
APC	LRP6	877
FZD3	LRP6	913
WNT3	LRP6	987
NUP155	NUP133	998
EIF2AK2	TRAF5	783
ECPAS	PSMA6	702
PSMC1	PSMA6	999
COG3	MAN2A1	758
CRY1	RORA	935
KRR1	GPATCH2L	849
ERCC1	PALB2	757
BRIP1	PALB2	998
RAD51AP1	PALB2	952
MRPL32	PALB2	771
AASDH	PALB2	988
BARD1	PALB2	987
THOC2	THOC1	999
CEBPZ	UTP20	968
TARBP1	UTP20	824
ESF1	UTP20	746
MTREX	UTP20	900
WDR12	UTP20	848
NOL11	UTP20	979
POLR3B	UTP20	750
KRR1	UTP20	999
ZFYVE26	TTC19	865
C2orf49	RTRAF	997
ESF1	UTP6	995
UTP20	UTP6	998
NOL11	UTP6	957
GPATCH2L	UTP6	850
WDR12	UTP6	881
KRR1	UTP6	999
TWISTNB	UTP6	846
CEBPZ	UTP6	832
MTREX	UTP6	892
RSL24D1	UTP6	700
NARS1	AARS1	947
RARS1	AARS1	850
AP3B1	AP4E1	876
AP4S1	AP4E1	999
SETX	SPG11	783
ZFYVE26	SPG11	990
TOPBP1	TIPIN	765
POLE2	TIPIN	977
ICE2	CCNT1	912
CDK13	CCNT1	968
CDK7	CCNT1	993
MNAT1	CCNT1	934
RB1CC1	PIK3C3	989
MTMR7	PIK3C3	820
STX17	PIK3C3	785
ATG14	PIK3C3	999
RBSN	PIK3C3	757
SETX	PHF3	722
KIF11	MCM4	874
ORC6	MCM4	987
H4C6	MCM4	827
NCAPH	MCM4	711
TIPIN	MCM4	997
TOPBP1	MCM4	792
KIF23	MCM4	778
ORC3	MCM4	990
RRM2B	MCM4	750
ORC2	MCM4	988
POLE2	MCM4	998
NANOG	SMAD2	856
NR3C1	SMAD2	789
POU5F1	SMAD2	928
RB1CC1	RHEB	801
PIK3C3	RHEB	774
RPS6KB1	RHEB	968
H4C6	KMT2C	977
KRAS	KMT2C	756
ATG14	VMP1	701
RB1CC1	VMP1	712
PIK3C3	VMP1	919
PEX1	TRIM37	722
PDE6A	RPE65	813
CRX	RPE65	875
METTL25	METTL2B	756
SMAD2	SMURF2	999
PKD2	INVS	703
CSNK2A1	CSNK2A2	993
APOB	VAMP7	752
STX17	VAMP7	999
STS	ANOS1	754
PKD2	TRPC5	804
CEACAM8	BPI	844
IPO5	CSE1L	814
XPO4	CSE1L	908
SOS2	GAB1	978
H4C6	EPC1	807
EPC2	EPC1	809
DYNC1LI2	CAPZA1	918
KIF23	KIF18A	921
DLGAP5	KIF18A	945
KIF11	KIF18A	970
NCAPG	KIF18A	813
GPATCH2L	DDX18	844
RSL24D1	DDX18	988
MTREX	DDX18	846
CEBPZ	DDX18	958
UTP20	DDX18	749
ESF1	DDX18	977
DDX55	DDX18	946
KRR1	DDX18	992
WDR12	DDX18	997
UTP6	DDX18	761
RPL18A	DDX18	883
USPL1	DESI1	831
PSMC1	DESI1	994
PSMA6	DESI1	994
CSF3	IL1A	991
IRAK3	IL1A	756
IRAK3	IL1B	740
CSF3	IL1B	996
IL1A	IL1B	999
SIRT1	IL1B	719
EIF2AK2	IL1B	704
ADAM10	C9	720
TRAF5	BIRC3	997
PTCD3	MTIF2	944
RPL18A	MTIF2	826
MRPS35	MTIF2	951
POLR3B	MTIF2	792
MRPL32	MTIF2	968
MRPS10	MTIF2	990
RRN3	TAF1B	923
REV1	POLD3	991
POLE2	POLD3	961
AQR	SNRNP40	997
PPWD1	SNRNP40	832
LSM8	SNRNP40	939
SNRPA1	SNRNP40	997
RBM39	DNAJC8	868
MPP5	EPB41L5	845
ORC6	LHX4	714
DLGAP5	SGO1	849
NCAPG	SGO1	719
KIF18A	SGO1	862
STAG2	SGO1	951
KIF11	SGO1	841
AURKA	SGO1	750
CBX5	SGO1	869
EIF2S3	EIF2AK4	853
EIF2S1	EIF2AK4	999
KNOP1	ZNF106	706
MTIF2	POLR1A	815
RPAP3	POLR1A	823
MTREX	POLR1A	918
TWISTNB	POLR1A	999
UTP20	POLR1A	960
RRN3	POLR1A	999
CEBPZ	POLR1A	844
ESF1	POLR1A	819
TAF1B	POLR1A	750
POLR3B	POLR1A	990
MRPS10	POLR1A	773
DDX18	POLR1A	734
CHMP2B	STAM2	847
STRIP2	STRN	996
FGFR1OP2	STRN	892
POLR3B	GTF3C3	736
PIK3C3	PIK3CA	727
RRAS2	PIK3CA	988
RAP1B	PIK3CA	929
GNB4	PIK3CA	810
GAB1	PIK3CA	920
KRAS	PIK3CA	998
