#node1	node2	combined_score
CD4	LCP2	891
ARF5	ACAP1	825
CD4	ICAM3	707
CD4	TNFRSF1A	797
GRN	TNFRSF1A	803
RTN4R	NGFR	998
CD4	TBX21	947
CD4	LAG3	914
TBX21	LAG3	746
UQCRC1	ATP5F1D	968
CD74	MIF	999
GRN	SLC25A1	803
MAPK13	TAB1	825
TNFRSF1A	TAB1	835
CD4	IL2RB	875
TBX21	IL2RB	813
HSCB	ACO2	787
UQCRC1	ACO2	855
PYGM	RIPK3	958
TNFRSF1A	RIPK3	927
CEBPE	GZMH	725
LAG3	GZMH	731
GZMH	GZMB	847
CD4	GZMB	936
IL2RB	GZMB	907
LAG3	GZMB	930
TBX21	GZMB	918
OTUD5	USP11	716
SNTA1	SGCG	918
CD4	CCL22	720
CX3CL1	CCL22	878
CX3CL1	CCL17	856
CCL22	CCL17	964
CD4	CCL17	718
DVL2	PARD6A	958
PLA2G3	PLA2G15	843
NGFR	ARHGDIG	961
RIPK3	STUB1	784
PIGQ	CDIPT	813
PPP2R5B	PPP2CB	966
GTPBP1	EXOSC5	734
PABPN1	HNRNPL	718
BCL3	RELB	959
SF3A1	SF3A2	999
SF3A2	AMH	863
GABARAPL2	TBC1D17	972
TSC2	TBC1D17	759
BRF2	SNAPC2	702
EXOSC5	FBL	789
CD4	TGFB1	870
TBX21	TGFB1	730
TNFRSF17	CD79A	793
CD4	CD79A	753
GZMH	NKG7	969
GZMB	NKG7	917
LAG3	NKG7	807
IL2RB	NKG7	768
CEACAM6	CEACAM5	710
CDIPT	PIK3R2	909
NGFR	PIK3R2	906
PLA2G15	TMEM147	764
REXO1	ERF	768
TSC2	GSK3A	713
TAB1	GSK3A	786
TBC1D17	FIS1	996
PYGM	GCK	807
STX1B	YKT6	800
NME3	AK1	809
TCN2	AK1	718
CD79A	BLNK	998
LCP2	BLNK	991
YKT6	PFN1	774
UQCRC1	SLC25A11	725
CCL22	CCL2	914
CX3CL1	CCL2	831
MIF	CCL2	836
TGFB1	CCL2	851
RETN	CCL2	712
CCL17	CCL2	750
CD4	CCL2	839
TNFRSF1A	CCL2	768
CX3CL1	CCL13	749
CCL2	CCL13	842
HDAC7	KAT2A	761
HDAC10	KAT2A	855
KAT2A	HDAC5	729
CKM	MYH1	815
GZMB	CD38	786
TNFRSF17	CD38	773
CD79A	CD38	825
CD4	CD38	932
CD4	CD82	968
CEBPE	SPI1	892
SF3A1	PRPF19	997
PABPN1	PRPF19	708
USB1	PRPF19	916
HNRNPL	PRPF19	764
SF3A2	PRPF19	997
CD4	IL10RA	708
IL2RB	IL10RA	759
GALK1	MVK	829
MYH1	MYL2	945
CKM	MYL2	916
DVL2	FZD10	797
ACAP1	RAB35	736
MICALL1	RAB35	840
PABPN1	SRSF9	905
SF3A2	SRSF9	768
HNRNPL	SRSF9	760
GZMB	KLRB1	787
TBX21	KLRB1	701
GZMH	KLRB1	712
CD4	KLRB1	787
NKG7	KLRB1	730
CD74	FANCE	931
CD74	HLA-DOA	966
CD4	HLA-DOA	934
EXOSC5	BYSL	828
CD74	BYSL	837
FBL	BYSL	995
KLRB1	GZMK	931
LAG3	GZMK	701
NKG7	GZMK	933
GZMH	GZMK	878
PCDHB2	PCDHB5	720
CYP26A1	RBP1	719
CD74	EIF1B	810
MYL2	TNNC1	896
LCP2	NCK2	977
RHOV	NCK2	771
EFNB1	NCK2	997
UQCRC1	NDUFS7	997
ATP5F1D	NDUFS7	992
NCK2	DOK1	846
CSK	DOK1	899
ARSA	NEU2	904
DKK4	WNT6	949
FZD10	WNT6	852
DHPS	ODC1	745
LCP2	PLEK	724
PIK3R2	KISS1R	900
IGFBP2	MIIP	862
AK1	NT5C1A	706
CTSG	CTSD	722
GRN	CTSD	866
NT5C1A	ATIC	929
GABARAPL2	STBD1	736
PABPN1	TARDBP	855
HNRNPL	TARDBP	837
GRN	TARDBP	958
LCP2	KLRK1	719
TBX21	KLRK1	748
IL2RB	KLRK1	714
KLRB1	KLRK1	963
CD4	KLRK1	780
GZMB	KLRK1	816
PEX11G	PEX16	728
FIS1	PEX16	781
TNFRSF1A	TNFSF10	993
RIPK3	TNFSF10	706
MPG	UNG	745
SF3A2	TRIR	809
UQCRC1	TRIR	751
SCT	ADGRE5	733
FANCE	SEC61A1	870
TMEM147	SEC61A1	891
CD74	SEC61A1	869
TMEM214	SEC61A1	778
SF3A1	SNRPA	957
SF3A2	SNRPA	995
PRPF19	SNRPA	948
TRIR	SNRPA	895
CHPF2	CHPF	894
PLIN3	LIPE	793
STUB1	IRF1	865
SPI1	IRF1	974
CCL2	IRF1	786
NDUFS7	CLPP	801
MAPK13	FOSB	776
EGR1	FOSB	987
PABPN1	SYMPK	886
YBX3	SYMPK	938
MAPK13	CDC25B	927
SEC61A1	NCLN	902
TMEM147	NCLN	998
HNRNPL	RALY	737
KLRK1	HCST	999
PIK3R2	HCST	943
GZMB	CCR7	803
CD38	CCR7	884
CCL17	CCR7	932
CX3CL1	CCR7	915
