GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
374918,3.53E-261,2.30E-265,0.0655,34.8016242,2.2785141,1223.71,IGFL1,IGF like family member 1
3433,9.89E-206,1.29E-209,0.1601,-30.8975152,-4.9453263,1860.09,IFIT2,interferon induced protein with tetratricopeptide repeats 2
55601,5.80E-181,1.14E-184,0.1547,-28.9812127,-4.4833303,2965.91,DDX60,DExD/H-box helicase 60
51191,1.93E-165,5.03E-169,0.1974,-27.7118339,-5.4710654,1615.63,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
8638,1.71E-159,5.58E-163,0.281,-27.2056009,-7.6455613,3141.31,OASL,2'-5'-oligoadenylate synthetase like
10561,2.75E-155,1.08E-158,0.1433,-26.8409662,-3.8456201,1850.4,IFI44,interferon induced protein 44
4953,9.10E-143,4.15E-146,0.0474,25.7401753,1.2199752,5507.8,ODC1,ornithine decarboxylase 1
3437,1.04E-108,5.41E-112,0.1902,-22.488261,-4.2763256,1785.96,IFIT3,interferon induced protein with tetratricopeptide repeats 3
2247,3.47E-106,2.04E-109,0.1073,-22.223449,-2.3841903,487.82,FGF2,fibroblast growth factor 2
55008,8.62E-106,5.62E-109,0.0781,-22.177843,-1.732811,757.9,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
3434,8.15E-96,5.84E-99,0.1341,-21.114567,-2.8306268,1325.7,IFIT1,interferon induced protein with tetratricopeptide repeats 1
56829,1.02E-80,7.98E-84,0.0418,-19.398301,-0.8101018,5518.4,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1"
9636,6.18E-76,5.24E-79,0.1233,-18.8194207,-2.3195819,1717,ISG15,ISG15 ubiquitin like modifier
6695,2.46E-75,2.25E-78,0.1322,-18.7420222,-2.4769737,298.2,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
57169,2.46E-75,2.40E-78,0.0442,-18.7384988,-0.8276176,3948.74,ZNFX1,zinc finger NFX1-type containing 1
54541,4.36E-72,4.55E-75,0.0382,-18.3325798,-0.70063,4838.01,DDIT4,DNA damage inducible transcript 4
9173,6.05E-72,6.71E-75,0.1115,18.3114499,2.0408919,405.13,IL1RL1,interleukin 1 receptor like 1
10723,2.93E-70,3.44E-73,0.0668,18.0957494,1.2084118,1466.38,SLC12A7,solute carrier family 12 member 7
3872,1.94E-66,2.40E-69,0.0244,-17.6014243,-0.4290879,87863.84,KRT17,keratin 17
23586,1.69E-65,2.21E-68,0.1618,-17.4753705,-2.8271792,1147.19,RIGI,RNA sensor RIG-I
10410,9.82E-65,1.34E-67,0.0341,-17.3720148,-0.5917423,10301.77,IFITM3,interferon induced transmembrane protein 3
79718,3.24E-63,4.65E-66,0.0252,-17.1675039,-0.4323607,22673.72,TBL1XR1,TBL1X/Y related 1
5420,3.88E-61,5.81E-64,0.0889,-16.8848894,-1.5017113,702.42,PODXL,podocalyxin like
140876,4.26E-61,6.67E-64,0.0709,16.8767746,1.1972245,855.82,RIPOR3,RIPOR family member 3
3875,8.02E-60,1.31E-62,0.0391,16.7001929,0.652996,35104.07,KRT18,keratin 18
4319,4.47E-59,7.57E-62,0.1416,16.5950372,2.349474,220.57,MMP10,matrix metallopeptidase 10
54625,1.08E-58,1.90E-61,0.0523,-16.5397079,-0.8654533,3942.29,PARP14,poly(ADP-ribose) polymerase family member 14
7837,5.98E-58,1.09E-60,0.0522,16.4340037,0.8581574,1640.44,PXDN,peroxidasin
10379,1.05E-57,1.99E-60,0.0813,-16.3975838,-1.3338212,1010.5,IRF9,interferon regulatory factor 9
4312,8.47E-56,1.66E-58,0.1219,16.1267259,1.9658829,325.17,MMP1,matrix metallopeptidase 1
9314,9.76E-56,1.97E-58,0.0971,-16.1159109,-1.5646898,524.11,KLF4,KLF transcription factor 4
23657,1.31E-55,2.73E-58,0.0525,-16.0957395,-0.8442668,2357.98,SLC7A11,solute carrier family 7 member 11
5336,2.91E-54,6.26E-57,0.0882,-15.9007332,-1.4025618,738.53,PLCG2,phospholipase C gamma 2
9246,4.42E-54,9.79E-57,0.0608,-15.8727485,-0.9646405,1239.73,UBE2L6,ubiquitin conjugating enzyme E2 L6
129607,5.56E-53,1.27E-55,0.2144,-15.7111116,-3.3688215,174.38,CMPK2,cytidine/uridine monophosphate kinase 2
8519,2.35E-52,5.51E-55,0.0499,-15.6177203,-0.7798123,3204.59,IFITM1,interferon induced transmembrane protein 1
3976,1.00E-49,2.42E-52,0.056,15.2248877,0.8521211,1470.09,LIF,LIF interleukin 6 family cytokine
3856,3.62E-48,8.96E-51,0.0361,14.9867554,0.5406036,62427.17,KRT8,keratin 8
4940,8.66E-47,2.20E-49,0.0741,-14.7725745,-1.0952582,7045.08,OAS3,2'-5'-oligoadenylate synthetase 3
91351,4.23E-46,1.10E-48,0.0695,-14.6635253,-1.019351,1145.72,DDX60L,DExD/H-box 60 like
340061,2.60E-45,6.96E-48,0.1126,-14.5380165,-1.6371289,308.01,STING1,stimulator of interferon response cGAMP interactor 1
2537,2.96E-45,8.11E-48,0.1185,-14.5275256,-1.720876,427.44,IFI6,interferon alpha inducible protein 6
153090,2.10E-44,5.88E-47,0.0411,-14.3912005,-0.5915683,2822.97,DAB2IP,DAB2 interacting protein
4942,4.30E-43,1.23E-45,0.0286,14.1791091,0.4048975,10957.38,OAT,ornithine aminotransferase
151636,9.02E-43,2.65E-45,0.0563,-14.1254796,-0.7955136,2630.67,DTX3L,deltex E3 ubiquitin ligase 3L
9830,1.50E-42,4.51E-45,0.0464,-14.0878722,-0.6531186,2448.14,TRIM14,tripartite motif containing 14
4322,1.92E-42,5.88E-45,0.117,14.0691234,1.6455592,383.57,MMP13,matrix metallopeptidase 13
2201,8.05E-39,2.52E-41,0.0368,13.464862,0.4953003,4115.95,FBN2,fibrillin 2
23204,1.28E-38,4.09E-41,0.0248,13.4289577,0.3329045,23800.95,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
6781,8.20E-38,2.67E-40,0.1448,13.2892265,1.9249127,192,STC1,stanniocalcin 1
8626,8.76E-38,2.91E-40,0.0322,-13.2828082,-0.4274789,9902.52,TP63,tumor protein p63
3429,2.00E-37,6.77E-40,0.2202,-13.2195111,-2.9109969,879.36,IFI27,interferon alpha inducible protein 27
3855,1.28E-36,4.41E-39,0.0616,13.0778719,0.8060424,1218.89,KRT7,keratin 7
5328,2.90E-36,1.02E-38,0.0373,13.0138086,0.4858112,8796.93,PLAU,"plasminogen activator, urokinase"
2887,1.75E-35,6.27E-38,0.0866,-12.8744629,-1.114307,770.54,GRB10,growth factor receptor bound protein 10
220,3.93E-35,1.44E-37,0.028,12.8102932,0.3586226,34069.3,ALDH1A3,aldehyde dehydrogenase 1 family member A3
